,County_Name,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
336,"Palo Alto County, Iowa",38.0,40.0,42.0
337,"Polk County, Iowa",39.0,36.0,41.0
338,"Pottawattamie County, Iowa",29.0,32.0,29.0
339,"Scott County, Iowa",45.0,56.0,56.0
340,"Story County, Iowa",,36.0,36.0
341,"Van Buren County, Iowa",37.0,40.0,41.0
342,"Warren County, Iowa",,35.0,37.0
343,"Woodbury County, Iowa",28.0,28.0,34.0
344,"Wright County, Iowa",,,
345,"Brown County, Kansas",,,29.0
346,"Chase County, Kansas",20.0,20.0,23.0
347,"Douglas County, Kansas",,,
348,"Ford County, Kansas",15.0,13.0,14.0
349,"Johnson County, Kansas",36.0,35.0,40.0
350,"Leavenworth County, Kansas",33.0,34.0,36.0
351,"Linn County, Kansas",,,38.0
352,"Montgomery County, Kansas",,,
353,"Neosho County, Kansas",40.0,35.0,19.0
354,"Riley County, Kansas",,,38.0
355,"Sedgwick County, Kansas",39.0,40.0,44.0
356,"Shawnee County, Kansas",41.0,36.0,40.0
357,"Sherman County, Kansas",12.0,18.0,19.0
358,"Sumner County, Kansas",39.0,37.0,42.0
359,"Trego County, Kansas",36.0,41.0,42.0
360,"Wyandotte County, Kansas",41.0,45.0,43.0
361,"Bell County, Kentucky",39.0,38.0,47.0
362,"Boone County, Kentucky",39.0,39.0,42.0
363,"Boyd County, Kentucky",39.0,41.0,46.0
364,"Bullitt County, Kentucky",41.0,39.0,49.0
365,"Campbell County, Kentucky",40.0,43.0,47.0
366,"Carter County, Kentucky",36.0,36.0,44.0
367,"Christian County, Kentucky",39.0,41.0,49.0
368,"Daviess County, Kentucky",43.0,43.0,51.0
369,"Edmonson County, Kentucky",41.0,36.0,42.0
370,"Fayette County, Kentucky",42.0,39.0,48.0
371,"Franklin County, Kentucky",,,48.0
372,"Graves County, Kentucky",,,
373,"Greenup County, Kentucky",37.0,38.0,43.0
374,"Hancock County, Kentucky",42.0,41.0,46.0
375,"Hardin County, Kentucky",39.0,44.0,47.0
376,"Harlan County, Kentucky",,,
377,"Henderson County, Kentucky",43.0,42.0,47.0
378,"Jefferson County, Kentucky",49.0,49.0,44.0
379,"Jessamine County, Kentucky",43.0,40.0,46.0
380,"Kenton County, Kentucky",,,43.0
381,"Laurel County, Kentucky",,,
382,"Livingston County, Kentucky",41.0,40.0,43.0
383,"Madison County, Kentucky",,30.0,43.0
384,"Marshall County, Kentucky",,,16.0
385,"McCracken County, Kentucky",44.0,41.0,46.0
386,"McLean County, Kentucky",,,
387,"Morgan County, Kentucky",36.0,37.0,41.0
388,"Oldham County, Kentucky",42.0,39.0,48.0
389,"Perry County, Kentucky",39.0,36.0,40.0
390,"Pike County, Kentucky",36.0,42.0,43.0
391,"Pulaski County, Kentucky",40.0,37.0,43.0
392,"Scott County, Kentucky",,,
393,"Simpson County, Kentucky",40.0,39.0,46.0
394,"Trigg County, Kentucky",37.0,36.0,44.0
395,"Warren County, Kentucky",40.0,38.0,44.0
396,"Washington County, Kentucky",39.0,37.0,41.0
397,"Ascension County, Louisiana",33.0,34.0,36.0
398,"Beauregard County, Louisiana",,,
399,"Bossier County, Louisiana",34.0,41.0,44.0
400,"Caddo County, Louisiana",37.0,38.0,43.0
401,"Calcasieu County, Louisiana",44.0,44.0,46.0
402,"Concordia County, Louisiana",,,
403,"East Baton Rouge County, Louisiana",42.0,50.0,51.0
404,"Grant County, Louisiana",,,
405,"Iberville County, Louisiana",37.0,34.0,43.0
406,"Jefferson County, Louisiana",38.0,40.0,48.0
407,"Lafayette County, Louisiana",41.0,44.0,53.0
408,"Lafourche County, Louisiana",41.0,35.0,42.0
409,"Livingston County, Louisiana",41.0,45.0,43.0
410,"Orleans County, Louisiana",29.0,36.0,41.0
411,"Ouachita County, Louisiana",34.0,32.0,41.0
412,"Plaquemines County, Louisiana",,,
413,"Pointe Coupee County, Louisiana",33.0,32.0,41.0
414,"Rapides County, Louisiana",30.0,27.0,34.0
415,"St. Bernard County, Louisiana",43.0,44.0,53.0
416,"St. Charles County, Louisiana",,,35.0
417,"St. James County, Louisiana",29.0,31.0,37.0
418,"St. John the Baptist County, Louisiana",33.0,33.0,38.0
419,"St. Mary County, Louisiana",,,
420,"Tangipahoa County, Louisiana",30.0,29.0,37.0
421,"Terrebonne County, Louisiana",28.0,26.0,35.0
422,"West Baton Rouge County, Louisiana",39.0,37.0,54.0
423,"Winn County, Louisiana",,,31.0
424,"Androscoggin County, Maine",31.0,36.0,34.0
425,"Aroostook County, Maine",34.0,37.0,33.0
426,"Cumberland County, Maine",39.0,38.0,37.0
427,"Franklin County, Maine",,8.0,
428,"Hancock County, Maine",36.0,37.0,37.0
429,"Kennebec County, Maine",28.0,35.0,36.0
430,"Knox County, Maine",36.0,36.0,40.0
431,"MOBILE MONITORS County, Maine",,,
432,"Oxford County, Maine",30.0,33.0,34.0
433,"Penobscot County, Maine",31.0,37.0,34.0
434,"Sagadahoc County, Maine",,35.0,38.0
435,"Washington County, Maine",34.0,33.0,35.0
436,"York County, Maine",38.0,40.0,36.0
437,"Anne Arundel County, Maryland",45.0,44.0,48.0
438,"Baltimore County, Maryland",43.0,42.0,44.0
439,"Baltimore (City) County, Maryland",42.0,47.0,49.0
440,"Carroll County, Maryland",43.0,43.0,46.0
441,"Cecil County, Maryland",39.0,44.0,44.0
442,"Charles County, Maryland",40.0,44.0,47.0
443,"Dorchester County, Maryland",41.0,42.0,40.0
444,"Frederick County, Maryland",44.0,44.0,49.0
445,"Harford County, Maryland",44.0,43.0,49.0
446,"Kent County, Maryland",40.0,44.0,44.0
447,"Montgomery County, Maryland",39.0,45.0,47.0
448,"Prince George's County, Maryland",43.0,50.0,50.0
449,"Washington County, Maryland",40.0,44.0,49.0
450,"Barnstable County, Massachusetts",36.0,34.0,39.0
451,"Berkshire County, Massachusetts",37.0,34.0,37.0
452,"Bristol County, Massachusetts",40.0,37.0,39.0
453,"Dukes County, Massachusetts",38.0,31.0,40.0
454,"Essex County, Massachusetts",37.0,37.0,40.0
455,"Hampden County, Massachusetts",39.0,39.0,42.0
456,"Hampshire County, Massachusetts",38.0,36.0,38.0
457,"Middlesex County, Massachusetts",37.0,33.0,35.0
458,"Norfolk County, Massachusetts",34.0,37.0,36.0
459,"Plymouth County, Massachusetts",37.0,36.0,30.0
460,"Suffolk County, Massachusetts",38.0,43.0,46.0
461,"Worcester County, Massachusetts",40.0,37.0,43.0
462,"Allegan County, Michigan",38.0,41.0,42.0
463,"Bay County, Michigan",26.0,33.0,25.0
