,State,County,2022_Median_AQI,2021_Median_AQI,2020_Median_AQI,2019_Median_AQI,2018_Median_AQI,2017_Median_AQI,2016_Median_AQI,2015_Median_AQI,2014_Median_AQI,2013_Median_AQI,2012_Median_AQI,2011_Median_AQI,2010_Median_AQI,2009_Median_AQI,2008_Median_AQI,2007_Median_AQI,2006_Median_AQI,2005_Median_AQI,2004_Median_AQI,2003_Median_AQI,2002_Median_AQI,2001_Median_AQI,2000_Median_AQI,1999_Median_AQI,1998_Median_AQI,1997_Median_AQI,1996_Median_AQI,1995_Median_AQI,1994_Median_AQI,1993_Median_AQI,1992_Median_AQI,1991_Median_AQI,1990_Median_AQI,1989_Median_AQI,1988_Median_AQI,1987_Median_AQI,1986_Median_AQI,1985_Median_AQI,1984_Median_AQI,1983_Median_AQI,1982_Median_AQI,1981_Median_AQI,1980_Median_AQI
260,Illinois,Champaign,40.0,38.0,39.0,42.0,42.0,41.0,39.0,42.0,38.0,37.0,39.0,39.0,34.0,38.0,38.0,42.0,39.0,43.0,39.0,42,41.0,41.0,41.0,43.0,34.0,31.0,32.0,33.0,34.0,28.0,30.0,31.0,31.0,31.0,32.0,31.0,32.0,34.0,37.0,33.0,33.0,31.0,28.0
261,Illinois,Clark,36.0,34.0,31.0,34.0,32.0,39.0,38.0,39.0,39.0,38.0,43.0,41.0,40.0,36.0,39.0,43.0,39.0,42.0,38.0,40,45.0,43.0,,,,,,,,,,,,,,,,,,,,,
262,Illinois,Cook,48.0,54.0,53.0,53.0,54.0,50.0,51.0,53.0,55.0,54.0,57.0,58.0,58.0,58.0,69.0,71.0,64.0,65.0,63.0,62,67.0,68.0,69.0,57.0,61.0,52.0,51.0,52.0,56.0,51.0,50.0,50.0,53.0,57.0,57.0,62.0,62.0,62.0,64.0,66.0,69.0,62.0,77.0
263,Illinois,DuPage,41.0,44.0,41.0,42.0,45.0,41.0,40.0,39.0,38.0,40.0,44.0,50.0,46.0,49.0,45.0,51.0,29.0,31.0,29.0,30,32.0,33.0,31.0,31.0,27.0,28.0,27.0,27.0,27.0,27.0,25.0,26.0,31.0,42.0,39.0,25.0,25.0,26.0,21.0,24.0,25.0,25.0,26.0
264,Illinois,Effingham,38.0,37.0,37.0,40.0,39.0,43.0,39.0,40.0,38.0,41.0,46.0,43.0,44.0,41.0,38.0,45.0,39.0,44.0,40.0,42,44.0,44.0,42.0,45.0,47.0,42.0,42.0,46.0,45.0,41.0,44.0,45.0,44.0,48.0,58.0,46.0,43.0,36.0,33.0,35.0,35.0,25.0,
265,Illinois,Hamilton,40.0,40.0,40.0,43.0,40.0,41.0,39.0,38.0,41.0,41.0,49.0,45.0,46.0,42.0,42.0,54.0,43.0,48.0,44.0,48,48.0,44.0,43.0,44.0,46.0,44.0,,,,,,,,,,,,,,,,,
266,Illinois,Jackson,,,,,,,,,,,,,20.0,14.0,16.0,20.0,19.0,22.0,18.0,17,16.0,17.0,19.0,20.0,20.0,19.0,17.0,18.0,19.0,17.0,24.0,23.0,22.0,24.0,,,,,,,,,
267,Illinois,Jersey,41.0,40.0,39.0,42.0,42.0,43.0,40.0,40.0,39.0,41.0,49.0,44.0,38.0,39.0,41.0,44.0,41.0,48.0,43.0,47,45.0,47.0,43.0,44.0,46.0,46.0,42.0,43.0,42.0,38.0,42.0,44.0,43.0,44.0,58.0,,,,,,,,
268,Illinois,Jo Daviess,36.0,36.0,32.0,34.0,33.0,34.0,33.0,34.0,35.0,37.0,36.0,35.0,37.0,32.0,36.0,36.0,30.0,36.0,33.0,36,36.0,36.0,35.0,39.0,37.0,36.0,38.0,39.0,37.0,,,,,,,,,,,,,,
269,Illinois,Kane,40.0,42.0,39.0,40.0,38.0,38.0,35.0,35.0,33.0,30.0,31.0,32.0,36.0,32.0,33.0,34.0,30.0,35.0,31.0,31,36.0,35.0,35.0,30.0,28.0,29.0,29.0,29.0,32.0,31.0,27.0,31.0,29.0,31.0,31.0,28.0,28.0,30.0,28.0,28.0,24.0,24.0,29.0
