,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2015,2015_Median_AQI
92,"278,333","1,609","14,238","20,612","3,625","31,585","12,388","4,720","35,631","31,891","73,151","26,879","11,504","10,500",29.00%,48.0
93,"91,896","2,834","9,774","9,496","2,077","12,057","3,104","1,197","3,921","7,022","21,075","8,641","5,283","5,415",9.90%,42.0
94,"121,517","2,321","4,113","3,648","1,411","11,846","4,131","2,353","6,775","12,737","48,243","13,431","6,111","4,397",14.20%,34.0
95,"82,156","1,128","5,895","5,167",795,"12,366","3,489","1,887","4,390","9,012","16,988","11,099","2,974","6,966",16.80%,37.0
96,"241,881","1,734","14,811","23,135","4,722","32,561","9,928","4,166","10,700","33,393","53,964","27,101","13,225","12,441",17.60%,37.0
97,"942,614","3,776","61,573","44,318","31,793","129,294","55,380","23,085","68,595","133,002","192,476","109,793","51,951","37,578",13.90%,34.0
99,"151,828","5,898","16,411","7,023","3,390","19,889","7,046","2,616","11,473","19,207","21,543","24,260","9,519","3,553",15.90%,33.0
101,"433,627","2,490","22,724","28,996","12,007","53,268","28,445","7,525","50,783","52,501","90,397","44,835","20,497","19,159",15.90%,38.0
102,"136,849","1,495","6,983","5,314","2,993","22,518","6,538","1,799","12,391","16,343","28,084","16,731","7,874","7,786",11.90%,40.0
104,"637,791","8,969","46,498","30,513","19,014","70,929","30,974","14,913","67,140","92,336","141,646","62,531","26,917","25,411",15.50%,44.0
106,"129,511","1,474","9,361","7,753","2,724","15,653","5,308","1,298","9,889","13,841","29,065","21,783","4,746","6,616",10.10%,34.0
107,"277,323","2,496","31,198","11,454","5,469","45,736","9,959","5,171","20,866","36,685","52,707","33,454","13,908","8,220",12.40%,36.0
108,"142,062",432,"4,247","1,828","2,516","17,474","5,059","2,053","8,910","15,955","39,683","19,359","6,520","18,026",26.20%,40.0
109,"148,415","1,283","13,676","10,821","4,291","21,196","5,318","1,544","9,429","17,108","29,936","19,731","8,142","5,940",15.50%,34.0
110,"111,085","2,900","7,522","7,431","2,874","18,650","4,930","1,603","6,864","10,600","27,039","11,517","4,897","4,258",9.70%,35.0
111,"1,261,863","9,989","98,439","54,408","46,992","149,400","94,244","26,607","97,510","157,942","249,083","151,944","82,364","42,941",12.30%,40.0
113,"655,717","2,524","39,921","30,037","18,985","80,260","32,345","15,811","47,463","90,004","123,289","128,500","27,716","18,862",18.80%,38.0
114,"143,825",311,"9,975","4,942","3,734","22,090","7,301",691,"6,813","17,399","22,798","36,303","4,896","6,572",19.40%,32.0
115,"653,531","7,322","50,530","26,075","20,397","86,919","25,452","12,471","57,290","96,015","134,580","79,343","35,262","21,875",13.50%,37.0
116,"203,112","1,427","15,593","10,309","6,030","27,812","10,156","4,945","16,088","25,437","47,450","19,760","9,818","8,287",9.80%,37.0
117,"445,914","1,959","26,502","31,107","10,582","61,450","16,165","8,627","43,517","65,152","92,828","49,461","24,413","14,151",13.10%,38.0
118,"258,761","5,599","18,140","13,944","9,293","38,123","14,741","3,512","16,036","29,700","51,051","36,589","12,628","9,405",23.50%,37.0
120,"120,654","1,595","10,518","4,014","2,747","17,130","3,521","1,944","5,526","18,157","27,814","14,893","7,976","4,819",14.40%,32.0
