,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2015,2015_Median_AQI
491,"194,291",549,"9,427","15,463","3,862","24,718","9,652","3,861","16,847","19,281","45,323","20,930","9,787","14,591",15.00%,40.0
492,"134,166","1,010","7,915","29,533","6,030","15,486","5,927","3,091","5,316","10,576","25,914","12,956","8,131","2,281",11.40%,42.0
493,"122,708",456,"6,487","15,675","5,215","16,239","8,679","3,257","11,343","12,561","21,987","10,690","6,253","3,866",9.20%,33.0
494,"98,816",805,"7,542","11,927","3,952","10,920","4,462","1,626","9,809","7,164","26,202","8,640","3,365","2,402",6.80%,38.0
495,"54,629","1,502","3,958","3,585","1,399","6,467","2,580",748,"4,378","5,923","12,139","6,884","2,855","2,211",11.00%,40.0
497,"58,977",324,"3,260","8,997","1,270","7,972","2,633","1,275","4,466","7,208","11,659","5,113","3,477","1,323",9.30%,40.0
499,"363,716",337,"20,138","27,285","8,626","39,943","17,904","9,442","28,501","46,996","86,084","45,233","18,831","14,396",14.00%,45.0
500,"166,257",727,"7,941","21,620","4,801","20,611","13,746","2,611","12,820","17,469","35,861","16,019","8,609","3,422",9.20%,41.0
501,"226,545",961,"10,040","16,834","6,043","33,452","9,985","5,200","12,962","30,267","59,239","23,230","9,728","8,604",9.10%,43.0
504,"76,546",709,"4,376","10,478","1,364","10,498","3,801","1,149","3,316","8,260","17,487","6,442","3,194","5,472",13.60%,33.0
508,"434,881",694,"20,719","38,558","14,959","51,921","54,859","7,549","23,732","45,539","95,607","38,127","24,033","18,584",10.80%,42.0
509,"66,359",373,"4,977","10,561","2,461","7,921","1,684","1,349","3,095","5,457","17,159","6,273","2,812","2,237",10.40%,38.0
510,"88,193",689,"4,529","9,433","5,136","10,399","5,634","1,524","4,870","10,455","19,312","8,023","4,866","3,323",9.80%,40.0
511,"105,778",704,"4,927","8,589","3,122","10,017","2,266","4,090","11,256","15,422","25,768","9,566","6,223","3,828",13.80%,36.0
512,"60,648",285,"3,868","5,091","2,730","6,710","4,517",870,"4,881","7,000","11,688","5,965","4,094","2,949",12.20%,38.0
513,"858,184","13,197","64,260","50,570","23,377","103,544","38,961","17,107","76,754","96,500","192,767","98,232","40,791","42,124",11.60%,46.0
515,"163,024","2,817","15,430","22,546","2,518","13,545","9,744","2,730","6,871","18,489","43,089","10,684","8,005","6,556",12.20%,33.0
516,"154,177","3,253","11,558","8,263","3,973","21,395","8,424","2,274","6,331","11,549","49,669","11,954","7,656","7,878",12.90%,42.0
517,"472,022","4,171","22,613","44,571","13,569","54,885","14,456","16,730","52,750","78,764","94,877","39,081","23,055","12,500",12.40%,36.0
518,"1,254,419","11,162","121,330","108,286","37,050","135,246","79,224","33,309","104,549","180,026","219,955","127,970","69,459","26,853",10.80%,44.0
519,"418,085","4,477","22,518","32,914","16,080","50,592","24,384","12,114","40,612","57,177","81,366","39,591","23,706","12,554",17.00%,43.0
520,"75,131","11,145","7,411","4,082","3,445","8,540","4,383",803,"4,299","4,259","12,239","7,043","5,693","1,789",10.60%,30.0
521,"79,557",820,"6,696","9,260","2,423","10,591","6,777","1,503","5,525","8,836","15,699","5,206","3,564","2,657",10.50%,40.0
522,"342,886","4,054","18,164","23,373","9,328","41,726","24,165","5,644","18,809","37,253","82,365","35,566","15,582","26,857",14.70%,50.0
523,"150,643","3,567","14,098","13,764","2,767","14,628","6,289","2,096","9,430","17,159","36,885","16,649","5,898","7,413",17.00%,39.0
524,"55,799","2,948","2,244","7,866",730,"9,333","2,395",306,"2,783","4,481","13,262","4,872","3,163","1,416",11.70%,33.0
525,"2,203,452","78,111","221,125","212,800","80,188","246,327","147,992","28,776","132,054","281,919","405,906","198,199","117,747","52,308",13.00%,53.0
528,"309,408","12,992","24,016","13,781","11,107","43,584","16,429","3,242","12,939","24,818","89,662","27,586","17,968","11,284",9.00%,39.0
530,"106,495","1,423","11,640","13,906","2,442","12,781","4,562",863,"4,160","9,794","23,614","10,007","5,936","5,367",10.20%,42.0
531,"71,448","2,303","6,754","7,893","2,904","9,435","5,728",980,"3,529","5,267","15,686","3,809","3,188","3,972",8.90%,35.0
532,"51,435",625,"3,167","4,860","1,553","6,953","3,503","1,514","3,010","5,010","11,398","4,887","2,047","2,908",30.70%,37.0
534,"111,145","1,190","8,862","11,532","3,204","13,129","4,961","1,572","7,913","9,490","26,875","9,810","5,815","6,792",7.70%,38.0
535,"245,708","15,213","19,736","24,309","10,989","25,853","16,603","4,769","14,835","31,654","43,198","17,653","13,868","7,028",14.00%,42.0
536,"166,643","5,664","15,309","10,909","4,292","18,642","7,469","1,723","9,553","14,405","37,872","21,665","8,800","10,340",7.70%,41.0
538,"60,416","3,435","5,962","7,235","1,817","8,980","4,176",820,"3,419","4,294","11,131","3,551","3,302","2,294",10.70%,37.0
539,"54,885",925,"5,383","4,633","2,161","8,120","2,303",978,"2,695","4,396","12,207","5,836","3,588","1,660",7.60%,22.0
541,"98,334","3,616","6,539","6,710","2,321","14,235","3,764","2,647","5,729","7,785","27,200","8,564","6,517","2,707",8.60%,33.0
542,"971,342","14,337","65,831","99,335","33,819","120,326","74,487","19,209","71,066","106,019","194,238","87,317","50,409","34,949",10.30%,43.0
543,"642,147","5,172","48,464","47,015","14,332","61,996","21,228","19,990","48,368","113,901","125,334","68,756","32,803","34,788",10.90%,44.0
544,"42,035","1,730","3,444","3,943","1,252","7,232","2,365",454,"1,478","2,036","11,073","3,377","1,584","2,067",9.30%,32.0
545,"106,380","3,158","6,185","1,799","4,159","14,176","15,310",661,"3,709","7,693","26,692","10,200","6,221","6,417",11.80%,39.0
546,"57,513","1,458","3,218","10,203",711,"7,542","1,277",783,"2,002","7,638","14,257","4,249","2,588","1,587",11.20%,40.0
547,"157,340","1,264","9,348","17,416","4,707","19,747","8,227","2,917","11,378","18,986","31,449","12,876","6,969","12,056",8.30%,38.0
548,"563,382","5,527","36,673","64,755","16,235","68,736","27,923","12,301","49,561","72,870","109,060","53,290","24,794","21,657",10.70%,51.0
549,"260,151","1,909","19,835","25,259","8,000","33,300","7,775","8,559","13,823","33,491","65,687","21,535","12,406","8,572",11.00%,46.0
550,"62,786","1,165","4,598","3,967","1,230","9,992","2,407","1,481","3,854","6,014","14,620","9,027","2,369","2,062",8.80%,43.0
551,"113,751","1,273","8,182","20,466","3,197","11,553","4,825","1,483","6,279","11,639","20,602","7,712","4,547","11,993",10.40%,46.0
552,"92,236",800,"5,075","8,813","1,976","9,446","2,864","3,050","5,348","9,775","27,541","10,257","3,889","3,402",6.30%,36.0
553,"144,965",207,"8,197","3,060","1,174","5,385","2,560","4,144","13,321","40,474","21,912","9,482","9,479","25,570",8.90%,38.0
554,"173,429",404,"11,747","12,486","7,006","22,091","8,331","2,879","15,898","18,802","37,943","14,917","9,834","11,091",14.60%,39.0
555,"613,246","1,608","32,479","15,531","6,583","47,151","17,474","16,254","40,381","152,042","113,127","59,250","40,596","70,770",10.70%,40.0
556,"35,202",798,"4,291","1,084",848,"3,357","1,334","1,050","2,044","5,592","7,489","2,543","2,224","2,548",10.80%,36.0
557,"41,728",590,"3,382","4,617",748,"5,249","1,969","1,499","1,624","3,756","10,624","2,816","1,947","2,907",13.40%,39.0
558,"55,544","1,094","5,309","2,504","2,205","5,968","3,434","1,451","5,635","5,438","12,242","4,166","2,838","3,260",11.60%,40.0
559,"173,867",568,"8,105","9,939","4,993","21,511","8,558","3,255","21,037","19,968","41,411","16,802","8,136","9,584",14.30%,39.0
560,"203,967","1,150","10,533","7,904","2,956","17,673","8,776","8,955","15,290","54,248","31,973","17,780","9,691","17,038",11.10%,36.0
561,"227,288",292,"18,097","7,648","4,372","25,793","10,065","3,969","10,733","41,701","41,940","21,770","12,647","28,261",15.00%,30.0
562,"45,490",290,"2,100","4,211","1,141","4,825","2,754",324,"5,352","6,158","10,582","3,470","2,284","1,999",7.70%,38.0
563,"37,880","1,983","2,563","4,011","1,404","5,305","2,022",770,"1,801","3,414","9,079","3,209","1,242","1,077",12.50%,36.0
564,"67,347",274,"5,430","2,613",651,"7,575","1,793",942,"3,414","10,245","13,909","4,414","2,171","13,916",15.20%,40.0
565,"85,716","5,206","7,559","5,276","1,022","9,738","4,475","1,068","3,669","13,796","19,391","6,602","4,029","3,885",10.50%,30.0
568,"214,884","1,318","19,088","24,291","6,918","24,593","16,178","4,754","14,409","21,891","42,172","19,740","10,927","8,605",10.20%,33.0
569,"43,976","1,129","3,759","6,444",985,"6,253","2,263",459,"1,819","3,250","10,184","3,277","2,287","1,867",12.20%,20.0
573,"1,136,132","5,536","58,007","102,962","32,643","134,076","55,154","38,429","70,239","211,729","231,731","107,993","50,122","37,511",10.60%,45.0
574,"109,920",812,"7,835","12,034","1,862","11,850","4,661","1,206","4,888","12,312","22,801","13,528","5,396","10,735",8.00%,18.0
575,"30,058","1,811","2,122","2,962",667,"3,873","2,589",177,848,"2,087","5,927","2,583","1,418","2,994",6.00%,23.0
576,"378,773","2,395","30,670","40,654","11,640","46,755","25,128","6,223","18,642","31,823","87,199","34,654","17,269","25,721",12.50%,41.0
577,"54,890","2,592","4,848","6,893","2,466","5,654","2,437",609,"1,327","5,721","11,069","6,108","2,872","2,294",10.80%,35.0
578,"388,721","3,057","28,773","65,279","10,543","48,167","17,673","8,766","23,411","43,386","74,109","32,144","18,647","14,766",12.20%,28.0
579,"212,649","3,120","12,264","17,689","7,143","26,354","10,139","3,031","15,460","19,866","57,400","18,651","12,045","9,487",10.40%,42.0
580,"121,109","2,526","8,227","6,735","2,038","13,036","5,184","1,919","5,654","11,861","24,798","12,024","6,835","20,272",10.70%,31.0
581,"102,163","3,917","5,869","10,417","2,154","12,605","7,283","2,125","4,779","8,323","24,361","9,912","5,139","5,279",13.60%,30.0
582,"104,851","16,687","5,808","9,796","5,799","10,401","8,067","1,114","2,496","6,082","21,693","7,556","4,812","4,540",11.50%,36.0
583,"52,281",680,"3,347","4,109","1,850","6,253","4,181",770,"2,528","5,178","12,420","4,468","1,213","5,284",7.40%,44.0
586,"81,128","1,412","3,805","3,530","1,648","9,131","3,443","2,261","4,219","8,215","23,638","8,453","3,336","8,037",9.60%,33.0
590,"135,838","1,580","8,968","27,755","3,111","17,677","8,082","1,943","10,035","11,488","25,338","11,461","5,109","3,291",10.40%,38.0
591,"299,966","3,255","13,048","25,626","6,665","29,698","8,594","8,412","22,476","39,895","83,406","30,363","13,638","14,890",7.40%,40.0
592,"43,795","2,072","3,148","12,147","1,099","4,813","1,826",703,"1,311","2,658","8,372","2,720","1,332","1,594",7.90%,38.0
593,"55,400",821,"2,270","7,472","1,386","8,352","2,344",788,"3,802","3,947","16,079","4,572","1,933","1,634",9.80%,33.0
594,"53,310","2,213","3,529","11,160",867,"5,591","2,515",720,"3,395","2,887","11,894","4,518","2,277","1,744",8.40%,40.0
595,"45,548","1,485","3,291","10,928","1,431","5,094","1,531",264,"1,927","2,641","9,949","4,040","1,386","1,581",14.10%,40.0
596,"83,941","1,078","4,578","16,317","2,739","10,055","4,496","1,090","3,775","6,904","19,304","7,051","4,182","2,372",10.40%,41.0
597,"41,087","1,375","2,314","12,116",963,"5,017","1,938",484,"1,978","2,423","7,268","2,706","1,438","1,067",10.30%,38.0
598,"71,878","2,818","3,301","15,934","2,508","8,488","3,655",465,"5,982","3,826","16,272","4,700","2,031","1,898",7.20%,36.0
599,"460,033","2,395","18,795","69,892","11,843","45,350","19,524","7,733","29,721","47,377","123,704","49,792","18,976","14,931",11.30%,41.0
600,"100,284","1,096","8,258","21,636","2,779","10,950","3,969","1,176","6,659","8,501","18,074","10,173","3,567","3,446",8.40%,38.0
601,"46,736",811,"1,605","8,986","1,622","5,424","1,009",681,"4,395","5,564","9,926","2,759","2,387","1,567",9.40%,36.0
602,"95,117","1,050","5,524","20,337","3,223","10,460","5,308","1,188","4,679","8,632","20,776","7,207","4,393","2,340",10.30%,39.0
603,"78,782","1,456","4,719","17,596","2,164","10,165","2,730","1,261","3,135","5,349","18,572","6,324","3,163","2,148",11.90%,41.0
605,"59,624","1,023","2,595","19,712","1,082","6,789","2,984",239,"2,728","3,696","10,292","4,672","2,464","1,348",9.00%,40.0
606,"52,314","1,182","5,127","9,107","1,165","5,624","1,825",937,"2,442","3,406","11,691","6,724","1,888","1,196",11.10%,40.0
608,"213,574",739,"11,012","40,402","8,528","23,470","7,016","3,432","17,377","22,612","49,754","15,360","9,601","4,271",10.80%,40.0
611,"45,849","2,970","2,167","2,024",744,"7,010","2,983",989,"3,028","4,086","9,561","3,765",905,"5,617",13.70%,42.0
612,"40,357","4,000","2,803","2,240","1,310","5,649","1,710",724,"1,667","3,321","7,916","4,318","2,643","2,056",4.80%,41.0
