,County_Name,Civilian employed population 16 years and over_2010,"Agriculture, forestry, fishing and hunting, and mining_2010",Construction_2010,Manufacturing_2010,Wholesale trade_2010,Retail trade_2010,"Transportation and warehousing, and utilities_2010",Information_2010,"Finance and insurance, and real estate and rental and leasing_2010","Professional, scientific, and management, and administrative and waste management services_2010","Educational services, and health care and social assistance_2010","Arts, entertainment, and recreation, and accommodation and food services_2010","Other services, except public administration_2010",Public administration_2010,Industry_2010,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2019,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,Industry_2015,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
307,"Merrimack County, New Hampshire","76,317",487,"5,291","7,561","2,641","10,265","2,917","1,282","4,323","6,964","19,947","5,843","4,079","4,717",5.30%,"76,518",675,"5,770","7,801","2,201","9,799","2,265","1,333","4,865","7,531","20,703","6,586","3,027","3,962",9.50%,"81,008",750,"6,858","8,882","2,770","8,627","2,895","2,639","4,540","8,856","20,514","6,512","3,134","4,031",8.30%,36.0,33.0,38.0
308,"Rockingham County, New Hampshire","159,582","1,080","11,024","20,342","6,718","23,410","7,034","4,129","10,741","16,780","34,526","11,550","7,147","5,101",6.40%,"173,766","1,229","10,890","25,151","5,886","22,320","8,746","4,337","11,151","21,420","37,818","12,230","6,243","6,345",9.20%,"175,623",798,"11,998","22,993","4,638","20,348","8,493","4,060","13,424","24,499","37,733","14,681","6,635","5,323",10.80%,37.0,41.0,36.0
310,"Atlantic County, New Jersey","126,545",600,"6,973","4,574","2,577","13,827","5,374","1,590","7,248","9,414","27,902","35,127","5,395","5,944",5.80%,"128,434",571,"8,405","5,071","2,586","15,182","4,942","1,772","5,854","10,615","30,032","32,801","4,981","5,622",8.50%,"128,756",292,"9,480","6,203","2,610","13,077","6,752","1,538","5,384","10,984","31,651","28,982","5,414","6,389",11.50%,37.0,37.0,41.0
311,"Bergen County, New Jersey","438,302",919,"24,897","40,015","19,216","47,458","22,703","16,169","45,159","58,730","99,084","28,699","20,540","14,713",7.10%,"477,434",447,"25,760","36,740","22,878","54,815","25,033","16,516","48,692","63,735","110,556","35,584","22,880","13,798",11.70%,"489,722",585,"26,274","35,516","19,592","46,512","25,596","13,817","55,099","71,863","124,327","32,982","20,822","16,737",14.20%,44.0,47.0,38.0
313,"Camden County, New Jersey","238,746",473,"12,733","16,372","7,763","28,212","13,560","4,424","16,998","28,238","68,154","19,928","11,225","10,666",7.00%,"248,104",279,"12,647","17,502","7,504","26,774","13,947","4,222","18,676","31,260","69,729","22,581","12,035","10,948",10.20%,"252,039",643,"18,454","18,311","7,820","30,692","15,144","3,669","18,048","28,354","67,484","21,194","10,690","11,536",13.60%,44.0,47.0,45.0
314,"Cumberland County, New Jersey","62,728","2,153","4,148","7,867","1,445","6,789","2,956",704,"2,203","5,305","18,850","3,954","2,324","4,030",8.90%,"66,220","3,141","4,600","8,844","1,513","8,058","3,852",480,"2,713","4,803","17,267","4,512","2,071","4,366",9.20%,"60,564","1,443","3,530","8,255","2,419","6,745","2,202",412,"2,235","6,356","15,817","4,389","2,049","4,712",16.00%,40.0,33.0,41.0
315,"Essex County, New Jersey","344,146",839,"19,412","21,063","8,192","33,180","24,477","11,875","31,756","44,064","89,318","25,779","17,380","16,811",11.30%,"371,110",157,"19,928","23,467","9,103","33,791","28,343","11,750","26,375","52,232","100,043","33,403","18,630","13,888",15.80%,"389,652",617,"28,150","24,610","9,852","38,413","34,502","9,149","32,727","52,768","94,371","28,173","17,709","18,611",18.40%,41.0,38.0,41.0
316,"Gloucester County, New Jersey","140,392",400,"8,065","13,392","6,085","18,181","8,567","2,455","10,326","15,812","37,053","8,958","5,680","5,418",4.80%,"143,071",773,"9,638","10,120","4,727","16,599","9,134","2,735","9,749","16,900","38,346","12,432","6,114","5,804",8.70%,"154,166",414,"11,971","11,655","5,684","17,331","12,322","2,989","9,816","17,591","43,312","11,218","4,504","5,359",11.40%,37.0,42.0,40.0
317,"Hudson County, New Jersey","312,480",88,"17,452","25,036","12,919","31,641","24,887","10,909","34,463","42,737","60,295","23,187","16,461","12,405",8.20%,"353,633",149,"19,564","24,002","14,030","35,561","27,366","11,955","39,603","52,637","71,127","30,051","17,364","10,224",13.30%,"365,487",438,"18,921","24,179","11,295","30,877","29,363","11,074","44,565","68,642","69,674","30,328","15,134","10,997",14.70%,41.0,42.0,45.0
318,"Hunterdon County, New Jersey","62,763",655,"3,617","7,711","1,670","6,822","2,222","2,317","6,033","8,552","14,680","4,034","1,961","2,489",5.20%,"65,982",935,"3,777","7,025","3,438","6,178","1,660","2,610","6,152","9,740","14,155","5,044","2,865","2,403",8.00%,"67,524","1,623","5,122","8,465","2,329","6,311","1,821","1,531","5,902","9,386","14,570","4,906","3,131","2,427",9.30%,39.0,36.0,43.0
319,"Mercer County, New Jersey","175,496","1,041","6,524","16,492","4,788","15,887","7,626","4,102","15,125","22,924","45,499","12,747","7,923","14,818",7.10%,"180,186",315,"7,622","14,930","4,924","20,198","7,873","3,029","15,404","25,475","44,496","14,722","8,047","13,151",11.80%,"176,443","1,082","7,224","11,447","5,434","15,186","8,871","4,113","15,016","27,251","50,198","12,062","7,497","11,062",11.80%,41.0,42.0,44.0
320,"Middlesex County, New Jersey","392,654",628,"18,052","39,615","17,826","43,951","26,800","12,486","36,177","52,832","83,080","29,705","15,450","16,052",7.30%,"403,939",464,"22,871","35,860","17,021","43,087","27,646","12,798","34,899","61,013","88,555","28,974","17,772","12,979",11.10%,"420,530",566,"21,720","33,718","14,747","40,904","38,754","10,740","37,393","63,706","102,774","24,862","15,927","14,719",15.00%,40.0,36.0,41.0
321,"Monmouth County, New Jersey","305,172","1,043","16,060","20,781","10,399","33,644","14,981","13,058","33,142","39,280","70,468","24,158","11,999","16,159",5.00%,"311,403",780,"21,444","18,789","8,820","36,510","14,327","13,021","31,521","40,222","72,109","27,968","14,862","11,030",10.20%,"325,993","1,819","24,318","18,467","9,690","32,476","13,881","10,634","30,843","46,019","84,157","26,767","13,241","13,681",12.40%,37.0,41.0,34.0
322,"Morris County, New Jersey","242,762",605,"13,025","29,462","8,531","24,489","11,615","10,352","26,164","33,295","55,177","12,728","8,589","8,730",4.80%,"263,313",345,"12,708","25,528","9,627","29,467","9,987","9,491","26,678","44,379","58,386","18,508","11,304","6,905",9.10%,"261,264",795,"14,037","31,624","9,389","27,950","10,241","7,747","25,039","42,075","56,973","17,808","9,720","7,866",10.10%,36.0,36.0,38.0
323,"Ocean County, New Jersey","240,290",813,"18,437","15,388","7,462","32,590","13,194","5,708","14,989","22,030","61,378","22,428","11,712","14,161",5.70%,"259,480",523,"22,400","13,629","8,288","39,929","14,478","4,227","16,607","25,580","67,413","21,131","11,633","13,642",11.90%,"265,895",786,"20,331","13,453","7,137","37,349","13,918","3,325","18,120","28,931","70,599","24,970","12,120","14,856",14.90%,38.0,39.0,43.0
324,"Passaic County, New Jersey","223,928",106,"12,406","30,737","9,361","27,233","10,168","5,816","17,055","25,463","50,431","16,915","11,461","6,776",6.90%,"229,788",59,"15,677","28,979","7,556","30,035","16,380","5,433","12,036","25,018","53,644","15,228","12,617","7,126",11.40%,"252,644",400,"17,766","32,052","8,389","29,725","20,917","4,613","15,115","28,523","56,911","20,221","9,966","8,046",18.50%,39.0,39.0,40.0
325,"Union County, New Jersey","255,497",177,"17,557","24,870","10,869","25,990","18,211","7,394","21,793","29,021","53,596","19,342","13,531","13,146",10.20%,"274,936",117,"15,615","25,521","8,793","30,010","21,875","6,241","24,314","37,264","58,585","21,819","13,435","11,347",13.20%,"284,667",610,"16,989","25,084","9,604","27,535","30,958","5,021","21,722","38,456","61,799","19,756","14,931","12,202",13.60%,42.0,44.0,48.0
326,"Warren County, New Jersey","52,725",455,"4,238","7,013",913,"6,165","3,362",971,"3,578","5,144","11,081","4,030","2,320","3,455",7.40%,"55,817",892,"4,121","4,406","1,724","9,058","2,609","1,180","4,437","8,098","9,647","5,071","3,023","1,551",7.80%,"54,272",350,"3,940","5,639","2,054","3,849","3,253",902,"3,334","7,207","13,293","4,090","3,378","2,983",9.00%,35.0,35.0,31.0
327,"Bernalillo County, New Mexico","313,133","2,402","22,197","14,327","7,556","38,113","11,667","6,814","14,235","42,501","79,301","34,732","12,892","26,396",7.50%,"309,526","3,523","20,692","11,312","8,002","38,423","9,051","6,179","15,760","45,730","77,493","36,966","17,057","19,338",9.50%,"328,045","4,021","22,236","14,016","8,301","32,821","13,603","4,948","18,106","46,344","88,100","34,496","20,037","21,016",11.50%,51.0,49.0,57.0
329,"Sandoval County, New Mexico","57,074",727,"4,096","5,010","1,376","7,496","2,312",747,"3,265","5,656","12,803","6,102","2,035","5,449",4.30%,"61,134",617,"3,757","3,931","2,268","7,445","2,727","1,025","3,958","7,408","14,737","7,234","2,437","3,590",8.40%,"68,757",752,"4,174","3,490","2,049","8,254","2,325","1,531","5,384","7,661","17,586","6,167","3,767","5,617",11.70%,44.0,41.0,48.0
330,"San Juan County, New Mexico","50,157","5,872","3,263","2,398",713,"5,613","4,805",535,"1,461","2,729","11,718","5,236","2,222","3,592",6.60%,"51,078","5,804","4,723","1,528","2,011","4,873","4,323",385,"1,910","3,957","10,898","5,029","3,061","2,576",8.70%,"46,994","4,254","4,231","2,146",221,"5,531","2,064",466,"1,898","2,537","12,698","5,678","2,147","3,123",11.50%,49.0,44.0,45.0
331,"Santa Fe County, New Mexico","66,852","1,106","4,745","1,317","1,410","8,038","1,967",985,"3,446","9,610","12,996","9,707","3,562","7,963",6.40%,"71,599",976,"4,404","1,820",745,"8,299","2,191","1,388","3,508","11,728","15,814","10,395","3,968","6,363",7.40%,"71,465",789,"5,809","1,942",815,"7,406","1,740","1,688","3,077","10,569","15,442","10,361","5,159","6,668",10.00%,44.0,42.0,44.0
333,"Albany County, New York","152,948",490,"5,607","7,129","3,344","16,951","6,140","3,992","11,472","15,235","44,276","13,363","6,583","18,366",6.00%,"159,252",884,"7,836","7,174","2,924","15,502","5,955","3,637","12,026","15,761","43,298","15,517","9,658","19,080",16.30%,"161,176",793,"8,315","8,051","2,941","14,596","6,162","3,034","12,277","20,646","41,975","14,245","7,668","20,473",14.80%,37.0,37.0,40.0
334,"Bronx County, New York","524,948",707,"28,747","18,634","10,342","62,689","37,729","10,524","37,711","44,030","166,086","55,189","34,473","18,087",9.20%,"600,417",800,"32,342","22,465","10,284","68,411","42,170","10,334","38,327","52,915","194,118","74,131","35,414","18,706",12.80%,"597,281",683,"34,177","19,643","10,661","62,209","49,421","10,340","37,592","55,026","196,880","70,714","29,701","20,234",17.70%,40.0,46.0,47.0
336,"Chautauqua County, New York","57,902","1,640","2,424","8,489","1,455","6,511","2,266",855,"1,980","3,496","17,684","4,911","3,563","2,628",3.80%,"57,550","1,330","3,168","11,306",918,"6,604","2,124",503,"1,510","3,447","14,999","5,667","2,445","3,529",8.40%,"55,381","1,179","3,583","10,105","1,358","5,439","1,894",540,"1,856","3,856","15,362","5,240","1,939","3,030",11.70%,38.0,38.0,39.0
338,"Dutchess County, New York","141,561","1,009","11,245","11,419","2,787","15,522","5,712","3,704","9,043","13,663","43,157","11,512","5,860","6,928",5.30%,"139,698","1,036","9,686","11,381","3,105","14,824","7,984","3,678","8,712","14,926","38,981","12,686","6,279","6,420",13.60%,"149,344","2,039","9,369","7,941","3,111","16,294","8,484","2,232","10,157","17,262","44,652","13,965","7,700","6,138",16.80%,34.0,33.0,34.0
339,"Erie County, New York","427,523","1,290","17,979","45,232","12,971","51,420","19,075","7,287","33,273","41,147","121,163","36,530","20,037","20,119",6.60%,"451,150","1,166","23,739","44,870","12,949","50,732","20,150","7,335","36,482","45,740","121,692","46,895","18,641","20,759",10.10%,"459,590","1,446","22,760","44,861","10,998","52,229","22,138","6,568","34,640","47,627","135,420","39,302","20,366","21,235",11.20%,38.0,45.0,45.0
340,"Jefferson County, New York","46,054",317,"4,278","2,893",718,"6,245","2,778",666,"1,538","3,617","10,668","4,332","2,604","5,400",4.70%,"45,588",736,"2,989","2,495","1,216","5,787","1,943",590,"2,114","2,424","11,565","4,642","3,433","5,654",8.20%,"38,093",565,"2,890","2,477",743,"6,157","1,258",634,930,"2,842","10,558","3,479","1,063","4,497",9.40%,35.0,32.0,35.0
341,"Kings County, New York","1,087,107","1,294","59,330","45,713","26,183","103,875","64,291","41,019","86,638","135,845","310,555","100,298","64,125","47,941",12.20%,"1,228,592","1,665","60,646","41,357","26,235","115,564","79,832","52,283","90,148","163,981","352,328","128,767","69,733","46,053",16.20%,"1,241,187","1,198","67,597","33,075","26,424","110,737","87,297","62,618","86,992","176,701","363,198","124,375","55,758","45,217",21.10%,27.0,32.0,37.0
343,"Monroe County, New York","344,863","1,119","14,301","43,764","7,425","39,940","12,681","8,427","19,513","36,742","111,671","24,663","14,166","10,451",6.40%,"367,870","1,215","17,015","38,895","8,558","42,923","13,919","9,598","18,694","43,895","112,195","31,032","18,474","11,457",10.10%,"371,882","1,144","14,092","41,962","7,639","39,133","15,408","8,162","17,453","48,062","119,450","32,742","15,712","10,923",13.50%,36.0,37.0,38.0
344,"Nassau County, New York","640,457","1,610","34,273","30,254","24,047","63,967","34,382","16,473","64,831","79,945","187,618","40,088","32,315","30,654",9.00%,"683,510",987,"38,583","30,358","22,353","70,402","40,687","22,996","67,328","82,929","198,955","48,585","30,380","28,967",14.70%,"697,994","1,922","44,679","28,655","22,327","63,601","43,062","19,434","70,619","88,611","207,017","49,296","25,112","33,659",18.20%,22.0,26.0,34.0
345,"New York County, New York","839,414",815,"13,183","32,507","17,896","61,992","21,740","52,409","135,840","156,452","194,262","90,641","36,381","25,296",7.50%,"908,640",264,"16,914","24,286","22,903","66,541","28,000","57,900","144,017","174,978","205,883","107,231","37,054","22,669",13.60%,"926,498",912,"17,324","28,285","17,003","59,565","25,994","54,764","156,625","187,348","218,824","101,902","34,039","23,913",17.20%,39.0,46.0,51.0
346,"Niagara County, New York","97,503","1,177","7,239","11,873","2,707","12,474","4,501","1,515","5,247","8,330","26,215","9,112","3,922","3,191",5.50%,"99,673",617,"5,744","14,118","2,948","12,786","5,297",973,"5,150","7,987","25,642","9,537","5,993","2,881",11.80%,"100,792","1,770","6,822","13,876","2,088","13,758","5,429","1,033","5,993","8,076","24,378","9,372","3,448","4,749",9.60%,35.0,36.0,40.0
347,"Oneida County, New York","101,109","1,309","5,170","10,917","1,851","10,960","3,570","1,829","8,128","6,714","29,838","7,750","3,509","9,564",6.40%,"100,357",903,"5,278","10,969","1,847","12,463","3,903","1,065","5,615","7,956","30,664","8,340","4,385","6,969",14.90%,"102,625","1,523","4,622","9,512","2,139","11,043","4,922","1,053","8,186","9,447","27,080","10,553","4,092","8,453",13.30%,18.0,27.0,33.0
348,"Onondaga County, New York","220,285","1,283","9,325","17,806","6,350","24,936","11,601","5,126","15,178","21,421","66,003","19,550","12,827","8,879",7.80%,"224,008","1,628","11,950","16,032","6,966","25,998","11,470","5,198","13,794","22,699","68,329","22,674","8,862","8,408",12.40%,"225,435","1,127","12,879","16,491","6,168","22,525","13,155","5,065","14,531","22,944","70,865","19,938","10,246","9,501",12.10%,37.0,35.0,33.0
349,"Orange County, New York","166,479","2,216","11,649","12,314","6,266","21,603","9,230","3,832","9,425","14,725","46,585","11,861","5,515","11,258",9.00%,"171,199","1,037","8,895","14,316","6,756","21,803","9,835","4,725","9,294","14,437","45,706","14,793","8,021","11,581",15.60%,"181,758","1,663","12,016","11,152","6,028","21,247","12,760","3,424","8,597","18,932","53,626","12,261","8,834","11,218",16.90%,36.0,36.0,40.0
350,"Oswego County, New York","52,866",865,"3,889","6,300","1,816","6,300","4,408",713,"1,861","3,433","13,606","4,605","2,676","2,394",6.20%,"52,656",392,"4,375","6,170","1,107","6,519","4,404","1,019","2,026","3,495","12,637","5,863","2,119","2,530",8.80%,"55,881",464,"4,157","7,127","1,784","9,443","4,337",366,"1,881","4,165","13,424","5,099","1,843","1,791",9.90%,34.0,32.0,34.0
352,"Queens County, New York","1,047,992","1,469","69,941","47,429","31,841","115,464","83,492","27,119","89,668","103,950","239,349","117,255","73,766","47,249",12.80%,"1,146,156","2,113","79,954","46,191","29,724","113,870","95,157","28,220","87,074","131,443","272,870","137,568","74,406","47,566",19.60%,"1,133,705",979,"88,227","36,277","25,181","104,316","94,162","30,179","80,248","131,966","293,337","132,294","70,332","46,207",18.90%,40.0,42.0,44.0
354,"Richmond County, New York","199,327",198,"14,859","6,854","2,885","20,115","13,274","5,690","21,756","19,756","57,897","11,295","9,892","14,856",8.00%,"208,536",272,"16,477","5,045","2,752","21,271","13,783","5,376","21,075","24,664","61,620","14,626","7,833","13,742",11.60%,"227,121",730,"17,678","6,096","4,043","21,219","15,655","4,531","21,207","25,920","69,993","15,314","7,979","16,756",18.60%,37.0,43.0,42.0
356,"Saratoga County, New York","112,618",361,"6,916","9,141","2,930","14,121","3,774","2,176","8,344","12,060","29,309","10,840","5,022","7,624",4.00%,"115,673",830,"7,723","11,198","2,396","15,238","4,010","2,327","8,240","13,792","28,023","9,376","4,292","8,228",7.20%,"121,942","1,300","7,814","12,125","2,706","11,619","3,971","2,462","7,504","13,550","32,159","12,568","4,044","10,120",9.70%,33.0,32.0,35.0
358,"Steuben County, New York","43,318","1,832","2,999","9,226",738,"4,324","1,972",529,"1,356","2,069","11,456","3,049","2,078","1,690",4.40%,"41,292","1,511","2,193","7,768",721,"4,625","1,635",773,"1,407","3,079","10,515","3,536","1,752","1,777",8.20%,"43,536","1,421","3,203","8,170",278,"4,747","1,293",564,"1,278","3,108","12,273","3,778","1,976","1,447",8.40%,35.0,34.0,35.0
359,"Suffolk County, New York","720,726","2,164","56,469","55,922","25,800","87,305","40,414","20,802","51,642","77,995","183,819","46,082","31,567","40,745",7.50%,"744,715","3,156","57,239","51,280","23,337","84,752","42,317","21,485","52,865","87,288","195,702","57,078","33,634","34,582",16.80%,"774,500","2,160","60,569","50,195","23,661","82,627","44,243","17,079","54,483","87,566","225,032","57,758","31,882","37,245",20.10%,40.0,41.0,42.0
362,"Wayne County, New York","45,451","1,639","2,963","9,642","1,133","4,341","1,363",538,"1,599","3,539","12,011","2,889","2,430","1,364",3.60%,"42,559","1,649","3,086","7,516",743,"4,889","1,485",655,"2,144","3,758","11,079","2,075","2,081","1,399",9.90%,"46,313","1,596","3,973","7,038",508,"5,869","1,535",965,"1,940","3,669","11,119","3,906","2,232","1,963",11.20%,35.0,31.0,35.0
363,"Westchester County, New York","455,939",671,"30,406","19,320","11,915","39,865","18,487","14,139","50,568","61,344","129,654","35,588","27,380","16,602",6.70%,"477,980",450,"28,840","19,613","11,693","46,854","19,843","15,124","51,226","71,693","124,739","41,173","28,137","18,595",11.10%,"485,843","1,525","31,455","20,607","12,674","42,615","21,588","15,229","50,068","70,430","137,449","40,299","21,149","20,755",17.50%,36.0,38.0,37.0
365,"Buncombe County, North Carolina","111,444","1,369","6,694","8,836","2,996","13,501","1,450","1,587","6,432","12,511","32,483","13,576","4,656","5,353",6.70%,"117,832",992,"7,331","10,199","2,142","15,544","3,081","1,229","5,962","13,292","30,706","15,749","7,488","4,117",7.60%,"129,187",859,"10,988","12,249","2,263","12,282","5,129","1,393","6,475","13,534","31,750","22,055","5,531","4,679",10.30%,38.0,36.0,44.0
369,"Catawba County, North Carolina","70,179",589,"4,036","16,820","3,536","8,314","3,884",490,"3,058","4,179","12,905","5,610","4,390","2,368",6.80%,"67,277",241,"3,915","19,735","2,557","7,733","2,564",785,"2,705","5,058","12,142","6,267","1,641","1,934",7.40%,"78,360",415,"3,119","22,056","2,189","8,280","3,544","1,094","3,049","6,951","13,304","8,377","3,865","2,117",10.20%,33.0,39.0,45.0
370,"Cumberland County, North Carolina","118,665","1,067","7,687","8,116","1,915","14,756","5,028","1,406","4,081","9,828","34,486","11,613","6,835","11,847",6.80%,"122,639",599,"6,783","8,747","1,805","18,114","3,843","2,322","4,414","12,613","32,606","13,633","6,778","10,382",10.60%,"130,444",566,"9,925","10,999","1,991","17,772","6,737","1,666","4,152","12,255","32,471","15,868","6,595","9,447",12.00%,41.0,41.0,48.0
371,"Davidson County, North Carolina","71,092",178,"3,982","14,799","1,491","9,531","3,620","1,151","3,468","5,337","16,089","5,761","3,277","2,408",5.40%,"73,582",527,"7,006","16,567","1,368","8,664","3,988","1,454","2,460","5,291","14,927","4,965","3,529","2,836",9.60%,"74,673",355,"6,544","14,302","1,971","7,004","5,737","1,523","3,230","6,529","15,142","5,339","5,275","1,722",9.50%,35.0,45.0,45.0
372,"Durham County, North Carolina","128,308",741,"8,204","6,370","2,397","9,274","4,346","3,021","7,056","19,019","44,697","10,876","6,978","5,329",5.40%,"157,950","1,546","10,245","12,891","2,380","11,694","3,020","3,532","7,658","19,851","55,598","16,754","6,198","6,583",9.70%,"165,940",331,"9,913","10,518","3,274","15,053","4,863","1,946","8,351","22,365","59,396","14,556","10,377","4,997",10.80%,42.0,41.0,45.0
373,"Forsyth County, North Carolina","156,458",401,"9,593","18,428","6,150","16,880","6,065","2,006","10,562","16,118","43,094","15,330","7,335","4,496",4.80%,"168,831",985,"11,109","19,835","4,470","18,162","7,191","2,287","10,794","18,312","46,199","15,083","9,019","5,385",9.70%,"177,326",525,"12,807","20,755","3,315","23,868","8,665","1,480","12,680","16,735","47,877","15,150","8,644","4,825",13.00%,45.0,43.0,52.0
375,"Guilford County, North Carolina","224,194",722,"11,536","28,502","9,802","27,005","9,627","4,682","16,934","22,658","52,433","22,962","11,039","6,292",5.80%,"245,890","1,284","15,087","29,962","8,514","27,458","12,553","3,700","20,199","25,142","56,757","24,837","13,700","6,697",12.00%,"255,934","1,197","14,461","32,002","9,760","29,583","15,086","4,852","18,117","24,362","62,535","27,889","9,443","6,647",15.80%,42.0,41.0,48.0
377,"Johnston County, North Carolina","77,471",827,"6,849","9,131","3,297","9,889","3,746","1,472","5,545","7,151","14,736","5,028","3,211","6,589",4.40%,"87,561","1,453","9,266","8,471","4,395","11,509","2,848",768,"3,309","7,233","18,168","9,429","3,999","6,713",7.40%,"101,502",700,"13,101","10,290","3,308","12,030","4,435","2,027","5,269","9,158","20,304","8,981","5,039","6,860",9.70%,40.0,39.0,46.0
379,"Mecklenburg County, North Carolina","445,716",429,"29,969","38,831","16,776","52,531","25,589","12,104","54,496","54,248","82,440","43,585","24,148","10,570",4.70%,"534,403","1,343","35,618","41,743","18,428","61,186","27,929","16,417","70,900","73,514","98,664","53,045","25,196","10,420",8.80%,"607,305","1,231","41,456","46,425","22,607","62,612","40,652","12,313","77,853","87,970","113,221","60,043","29,479","11,443",12.00%,45.0,44.0,54.0
381,"New Hanover County, North Carolina","96,896",171,"6,678","6,084","3,004","12,148","3,679","3,053","5,265","10,508","24,367","13,117","5,648","3,174",4.60%,"105,493",418,"7,608","7,493","2,903","14,203","4,704","3,376","5,648","10,805","28,266","12,108","5,629","2,332",9.60%,"118,704",650,"6,703","7,406","1,978","15,023","4,573","3,327","8,529","15,784","29,355","17,118","4,589","3,669",13.50%,34.0,33.0,38.0
384,"Pitt County, North Carolina","80,520",942,"5,523","7,452","2,902","9,481","2,746","1,266","4,121","5,442","25,498","7,827","4,529","2,791",4.50%,"81,798","1,063","5,243","9,105","1,393","9,598","2,547","1,531","3,707","4,752","24,554","10,210","4,117","3,978",9.10%,"86,219","1,658","5,406","7,113","2,403","10,206","2,877","2,049","3,144","6,354","26,840","10,756","4,279","3,134",29.40%,38.0,39.0,44.0
388,"Rowan County, North Carolina","58,312",872,"5,140","7,419","2,673","9,820","3,351",410,"1,880","3,353","13,624","4,637","2,760","2,373",7.70%,"60,385",427,"6,118","10,279","1,693","7,845","3,090",336,"1,937","4,397","13,744","5,990","3,144","1,385",10.10%,"65,063","1,201","7,651","10,237","1,898","5,737","3,120",437,"2,256","4,387","13,768","6,908","4,763","2,700",6.90%,43.0,45.0,51.0
389,"Union County, North Carolina","94,191","1,787","7,713","13,632","2,496","11,223","3,729","2,323","8,878","9,650","17,679","5,786","5,786","3,509",4.90%,"109,270","1,015","8,232","12,679","3,653","12,150","5,370","2,514","11,181","13,895","23,297","8,535","4,270","2,479",8.80%,"119,702","1,160","11,371","13,275","3,589","13,814","6,582","1,420","10,364","15,369","23,082","10,562","6,250","2,864",16.20%,45.0,44.0,45.0
390,"Wake County, North Carolina","448,710","1,525","24,783","38,715","14,416","51,145","17,584","11,500","29,963","73,272","95,599","41,681","21,437","27,090",5.90%,"528,812","1,789","34,734","41,230","13,765","56,269","19,497","18,882","39,890","101,164","107,542","46,214","21,748","26,088",8.40%,"589,553","1,883","36,060","48,773","12,551","55,514","26,669","15,456","46,505","122,551","125,415","47,122","25,110","25,944",12.50%,46.0,45.0,50.0
392,"Burleigh County, North Dakota","44,104","1,343","3,760","1,733","1,409","5,617","2,529",601,"2,599","4,157","11,630","2,928","1,746","4,052",2.70%,"51,848","2,221","4,900","2,093","1,770","5,953","3,243",489,"2,760","4,414","13,868","4,006","2,516","3,615",6.40%,"49,384","1,207","3,476","2,135","1,221","5,862","3,436",670,"2,587","4,248","13,454","3,841","3,063","4,184",10.00%,31.0,34.0,38.0
393,"Cass County, North Dakota","90,256","1,640","6,000","8,270","3,496","10,978","3,479","1,890","7,381","8,179","21,373","9,037","5,514","3,019",1.90%,"97,937","2,177","7,688","9,844","4,281","10,599","4,040",888,"7,609","10,196","23,596","9,862","4,949","2,208",7.60%,"109,073","2,075","9,618","8,773","5,355","10,839","4,407",731,"7,518","10,379","31,974","10,171","4,385","2,848",8.80%,33.0,38.0,39.0
394,"Allen County, Ohio","44,717",740,"2,368","9,162","1,653","5,691","1,314",565,"1,551","3,587","10,459","3,705","2,189","1,733",8.90%,"49,872",422,"2,296","10,720","1,817","3,790","2,371",293,"2,521","3,140","12,168","5,247","2,703","2,384",7.30%,"47,165",402,"2,446","10,601",767,"5,503","2,537",500,"1,254","3,281","11,315","5,733","1,174","1,652",9.00%,41.0,34.0,45.0
395,"Ashtabula County, Ohio","43,330",575,"2,713","9,000",886,"5,813","3,042",519,"1,117","2,166","10,766","2,702","2,557","1,474",5.70%,"39,519",619,"2,249","9,687","1,069","4,122","1,724",737,"1,141","2,213","10,635","2,989","1,305","1,029",6.00%,"43,253","1,195","2,747","9,044",635,"3,311","2,008",434,"2,048","2,100","10,389","4,653","2,497","2,192",5.70%,39.0,41.0,44.0
397,"Butler County, Ohio","170,645",925,"7,488","29,696","5,411","20,642","7,990","2,018","11,222","17,735","39,673","15,392","6,237","6,216",7.60%,"177,826","1,231","9,864","25,902","6,018","22,359","8,046","2,334","13,123","16,344","41,175","18,284","7,559","5,587",9.40%,"184,893",350,"11,357","31,343","4,484","22,225","9,569","2,015","12,065","17,698","44,487","16,252","7,826","5,222",9.40%,43.0,41.0,48.0
