,County_Name,Civilian employed population 16 years and over_2010,"Agriculture, forestry, fishing and hunting, and mining_2010",Construction_2010,Manufacturing_2010,Wholesale trade_2010,Retail trade_2010,"Transportation and warehousing, and utilities_2010",Information_2010,"Finance and insurance, and real estate and rental and leasing_2010","Professional, scientific, and management, and administrative and waste management services_2010","Educational services, and health care and social assistance_2010","Arts, entertainment, and recreation, and accommodation and food services_2010","Other services, except public administration_2010",Public administration_2010,Industry_2010,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2019,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,Industry_2015,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
44,"Madera County, California","54,262","11,933","2,742","4,447","1,122","6,193","2,946",870,"2,561","2,407","10,971","2,953","2,114","3,003",8.80%,"58,279","11,076","2,656","7,026","1,201","5,088","2,230",624,"1,429","4,031","11,193","5,686","2,419","3,620",9.30%,"60,238","9,657","5,183","4,449","1,262","6,019","3,845",533,"2,306","4,096","12,442","6,715","2,150","1,581",13.70%,50.0,63.0,46.0
45,"Marin County, California","119,487",640,"6,769","6,563","3,006","12,192","3,051","3,248","12,374","22,050","27,193","11,701","6,654","4,046",7.30%,"130,101",944,"5,781","6,118","4,279","13,600","2,569","5,394","14,174","27,296","25,880","10,565","8,573","4,928",10.70%,"130,860",730,"9,255","7,294","3,598","14,077","3,233","4,052","13,694","28,113","25,292","12,069","6,203","3,250",14.70%,33.0,36.0,38.0
47,"Merced County, California","94,048","11,660","5,109","10,231","4,241","12,277","4,421","1,329","3,193","5,328","19,278","7,480","4,604","4,897",4.30%,"98,425","14,969","7,205","11,329","2,451","10,402","5,528",456,"2,727","7,054","21,594","7,424","3,974","3,312",8.10%,"112,718","16,392","9,081","12,299","3,838","11,027","7,182",735,"2,658","6,765","23,075","9,795","4,117","5,754",8.70%,48.0,58.0,55.0
48,"Monterey County, California","175,878","26,052","9,987","8,457","4,334","21,896","5,566","2,714","8,078","16,515","33,312","17,801","10,135","11,031",6.00%,"182,151","35,300","11,354","8,181","6,314","16,367","5,733","1,326","5,889","16,055","35,537","22,612","7,724","9,759",10.30%,"191,694","31,758","15,406","7,719","4,728","16,907","6,565","2,391","7,800","18,575","40,108","21,308","9,182","9,247",15.50%,37.0,37.0,36.0
49,"Napa County, California","62,966","4,341","3,482","7,629","2,265","6,491","1,697","1,204","3,858","5,752","12,983","7,471","2,978","2,815",6.20%,"70,701","5,124","4,780","8,968","2,489","6,035","1,907",570,"3,281","5,108","15,524","10,671","3,441","2,803",17.50%,"69,450","3,720","3,685","8,294","2,189","7,144","3,574","1,258","2,732","7,338","14,333","10,141","2,833","2,209",17.10%,35.0,44.0,39.0
51,"Orange County, California","1,414,260","5,759","81,763","194,612","55,250","157,885","47,279","29,325","126,127","189,056","261,950","142,182","75,302","47,770",8.20%,"1,559,173","8,962","92,825","209,316","54,080","155,444","53,764","32,910","132,057","220,638","298,457","173,061","85,194","42,465",13.30%,"1,621,719","12,146","107,117","181,466","55,319","165,647","62,146","30,043","137,726","229,527","333,441","172,773","85,641","48,727",22.70%,48.0,56.0,56.0
52,"Placer County, California","151,654",726,"11,286","10,868","3,886","21,120","8,420","2,908","13,411","18,506","31,845","11,222","6,180","11,276",3.40%,"166,681","1,632","11,626","9,779","4,291","20,366","7,862","3,953","12,443","20,224","38,372","15,840","8,913","11,380",10.20%,"190,621",491,"12,108","10,835","4,096","23,175","9,583","3,642","16,023","25,759","42,730","18,396","9,572","14,211",11.50%,45.0,45.0,50.0
53,"Riverside County, California","854,828","14,996","68,272","75,925","30,577","118,193","46,043","14,982","46,462","84,225","171,551","92,612","45,377","45,613",6.80%,"981,103","17,598","88,831","84,376","27,643","132,484","55,588","13,108","51,390","100,069","201,398","107,826","55,058","45,734",12.30%,"1,074,894","11,155","104,266","96,142","28,943","129,331","72,544","13,500","53,776","106,748","231,824","112,373","57,484","56,808",14.60%,77.0,87.0,87.0
54,"Sacramento County, California","595,578","3,978","36,186","35,357","16,876","70,621","24,799","12,303","41,920","65,924","134,284","52,028","29,908","71,394",5.80%,"671,358","6,332","42,028","38,567","17,500","75,557","37,743","12,053","48,509","81,411","148,749","61,914","30,115","70,880",11.00%,"741,741","5,290","55,415","38,577","23,133","85,510","43,532","11,335","51,356","88,996","159,893","72,447","34,087","72,170",12.80%,46.0,54.0,49.0
55,"San Bernardino County, California","791,365","7,431","59,904","82,634","30,002","100,778","56,472","11,514","42,668","67,683","179,358","70,290","36,043","46,588",6.90%,"877,027","4,812","63,605","81,649","29,403","115,497","78,016","11,375","42,352","83,229","193,660","82,513","46,122","44,794",11.30%,"953,654","8,353","71,963","77,715","32,443","112,376","103,227","9,319","39,411","99,607","206,687","89,978","51,434","51,141",14.40%,80.0,83.0,81.0
56,"San Diego County, California","1,348,077","11,966","81,976","122,534","35,581","142,231","52,298","29,014","90,724","196,020","282,931","144,594","73,152","85,056",8.30%,"1,552,867","13,647","85,725","140,724","43,902","164,890","58,830","36,522","91,145","233,101","329,615","191,470","86,667","76,629",11.80%,"1,624,854","8,464","105,247","154,635","33,044","164,833","64,324","36,922","102,986","258,599","343,778","184,482","88,171","79,369",15.30%,64.0,61.0,61.0
57,"San Francisco County, California","446,665","1,130","16,023","29,079","10,024","42,315","15,012","17,971","38,414","89,930","88,869","54,107","25,468","18,323",8.30%,"506,320","1,727","16,573","27,967","8,187","50,631","19,160","32,749","46,160","115,217","89,027","58,735","22,801","17,386",14.50%,"539,057",645,"17,575","28,122","6,807","47,049","21,834","35,429","42,142","148,147","93,130","58,228","21,307","18,642",16.80%,36.0,35.0,40.0
58,"San Joaquin County, California","264,858","12,810","17,438","27,430","10,822","28,767","16,781","5,011","12,825","25,012","57,784","23,977","12,201","14,000",7.60%,"292,491","14,603","24,043","29,287","10,317","36,219","23,947","4,828","14,609","27,615","57,727","23,579","13,076","12,641",9.40%,"326,476","16,903","30,657","26,476","6,921","39,093","30,743","4,254","14,443","31,043","66,499","29,933","12,922","16,589",14.30%,44.0,56.0,45.0
59,"San Luis Obispo County, California","116,949","4,759","9,382","7,791","2,074","15,981","4,301","3,772","4,372","13,269","25,458","13,722","5,053","7,015",3.90%,"128,903","4,059","9,683","8,955","2,099","15,230","6,083","1,527","5,732","12,658","32,583","17,127","5,686","7,481",10.30%,"134,530","3,594","9,182","10,262","3,034","14,748","7,022","1,950","6,608","14,910","29,993","19,031","7,162","7,034",15.10%,46.0,53.0,51.0
60,"San Mateo County, California","362,295","2,788","21,010","26,993","9,701","33,553","20,839","10,566","29,568","59,578","79,507","33,464","20,337","14,391",6.40%,"400,912","2,408","20,433","31,396","9,025","41,021","23,276","16,347","25,508","76,032","80,094","41,889","19,458","14,025",12.10%,"421,562","2,422","23,958","32,418","7,199","38,170","24,524","19,516","32,094","85,699","84,366","39,548","17,456","14,192",12.90%,35.0,32.0,35.0
61,"Santa Barbara County, California","187,202","18,031","9,717","15,318","4,821","18,284","4,649","4,444","8,259","21,276","41,292","21,402","9,932","9,777",6.20%,"214,133","20,268","11,591","17,583","4,716","19,700","6,296","4,963","9,660","24,041","49,254","26,328","11,774","7,959",10.00%,"215,213","21,437","14,657","12,481","3,678","17,891","6,729","3,727","9,839","29,222","50,519","26,812","11,333","6,888",14.20%,43.0,45.0,44.0
62,"Santa Clara County, California","834,009","5,591","42,199","156,189","18,133","88,192","20,789","30,861","41,459","153,969","160,641","57,324","37,362","21,300",6.50%,"967,374","4,906","49,912","171,575","17,620","84,976","27,376","46,197","45,740","191,319","179,670","83,740","37,819","26,524",12.30%,"1,021,426","3,740","56,183","163,866","18,968","85,097","32,873","46,924","41,441","230,737","198,896","79,749","37,716","25,236",14.20%,41.0,43.0,42.0
63,"Santa Cruz County, California","117,481","7,667","8,233","9,514","3,041","12,295","3,792","2,254","4,943","13,842","28,318","13,793","5,821","3,968",3.70%,"132,081","8,503","8,794","10,467","3,677","12,775","4,062","2,610","5,169","14,561","30,944","19,128","7,674","3,717",17.20%,"140,781","8,549","9,725","10,492","3,127","14,111","5,113","2,095","6,024","19,488","34,250","16,833","6,189","4,785",16.80%,35.0,35.0,34.0
64,"Shasta County, California","64,021","2,130","4,562","3,837","1,771","6,237","3,623","1,306","4,626","6,214","18,024","5,330","3,184","3,177",5.80%,"72,329","2,009","5,662","3,725","1,192","9,931","2,177","1,955","4,044","5,650","18,804","7,029","4,805","5,346",10.90%,"77,273","1,308","5,741","5,285","1,741","8,797","4,098","1,011","3,596","6,222","21,269","8,143","4,557","5,505",17.20%,42.0,44.0,43.0
65,"Solano County, California","180,913","3,036","10,186","17,511","5,070","18,728","11,855","3,880","13,646","14,521","39,419","20,652","7,121","15,288",5.50%,"193,706","3,868","15,723","16,817","5,673","23,444","11,995","3,181","9,051","22,107","43,270","15,583","8,887","14,107",12.40%,"215,481","2,449","19,383","17,760","4,113","26,917","13,598","3,596","12,597","21,560","50,790","17,682","9,745","15,291",14.00%,40.0,44.0,39.0
66,"Sonoma County, California","227,836","5,278","16,982","22,332","6,951","31,387","8,049","5,209","13,553","24,793","45,633","23,787","12,927","10,955",5.20%,"250,066","9,586","22,821","23,628","7,516","28,466","9,806","5,044","15,731","27,215","52,389","27,877","11,517","8,470",12.70%,"258,846","7,461","21,412","24,622","5,776","31,867","9,524","5,950","12,937","33,372","54,032","28,103","14,284","9,506",12.60%,33.0,35.0,32.0
67,"Stanislaus County, California","198,972","11,321","14,636","26,716","9,122","26,086","9,314","2,618","7,241","13,653","45,076","15,053","10,521","7,615",6.00%,"215,825","12,922","14,480","26,154","10,863","30,317","13,645","2,559","7,663","15,038","46,256","17,626","10,493","7,809",8.60%,"236,924","14,645","22,931","24,747","8,226","28,423","19,164","1,892","6,835","18,379","47,965","22,244","11,378","10,095",11.60%,49.0,59.0,53.0
69,"Tulare County, California","169,217","31,291","9,511","11,423","9,748","19,518","8,111","1,548","6,049","10,851","30,438","11,344","7,846","11,539",8.00%,"170,090","33,095","7,356","13,036","4,689","19,712","7,789","1,542","5,116","12,663","34,234","13,611","7,475","9,772",10.10%,"189,088","31,305","12,687","16,033","7,334","20,032","8,270",780,"4,780","14,092","43,326","12,600","6,284","11,565",14.80%,66.0,78.0,69.0
70,"Ventura County, California","387,454","17,808","21,334","36,769","15,180","43,469","12,723","9,869","32,303","48,004","72,035","35,369","17,832","24,759",5.30%,"405,614","22,923","24,728","44,002","10,636","45,622","14,894","10,652","29,333","47,766","76,684","38,903","21,831","17,640",10.20%,"418,904","18,859","26,353","38,074","11,528","42,380","17,218","10,924","28,282","49,679","84,978","43,628","24,385","22,616",11.90%,46.0,50.0,47.0
71,"Yolo County, California","86,907","4,109","4,282","3,611","1,763","8,673","3,474","2,040","4,140","8,727","27,357","7,185","3,995","7,551",4.50%,"97,488","3,625","4,783","4,548","1,953","9,946","4,477","1,497","3,903","11,405","27,145","11,017","4,614","8,575",9.30%,"102,328","3,646","6,091","4,501","1,524","8,434","6,285","1,978","4,453","11,089","32,476","11,339","4,033","6,479",11.20%,41.0,44.0,38.0
72,"Adams County, Colorado","205,967","3,008","21,591","17,921","9,694","23,658","15,549","5,678","12,909","24,597","30,710","18,867","11,488","10,297",6.40%,"246,554","5,126","30,032","19,964","10,812","27,919","17,027","7,174","13,290","25,691","43,925","23,307","12,880","9,407",11.00%,"271,029","5,771","33,208","19,603","8,705","30,099","18,703","6,161","13,734","33,089","45,371","30,362","14,764","11,459",24.00%,47.0,45.0,43.0
73,"Arapahoe County, Colorado","290,348","2,512","20,615","15,962","8,620","36,778","15,851","11,832","26,986","38,911","56,572","29,666","13,614","12,429",5.60%,"332,194","4,377","21,120","19,275","7,964","40,438","19,809","12,938","31,767","49,420","67,601","29,430","15,127","12,928",12.60%,"359,042","3,563","26,071","20,372","7,775","35,534","23,685","12,707","33,761","52,798","75,820","33,835","18,074","15,047",14.70%,46.0,45.0,47.0
74,"Boulder County, Colorado","153,738","1,272","6,880","18,833","3,637","13,719","3,904","4,814","7,602","27,184","36,567","17,178","7,797","4,351",4.90%,"172,041","1,754","7,511","16,622","3,846","17,726","3,856","5,997","7,400","34,622","42,322","18,351","8,583","3,451",13.30%,"181,272","2,023","8,539","18,727","3,343","15,929","5,477","6,835","7,923","35,617","45,027","18,235","7,755","5,842",25.40%,47.0,44.0,45.0
