County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"St. Johns County, Florida","121,162","1,189","7,573","6,802","3,305","15,260","5,572","1,882","15,744","15,913","26,875","12,457","4,919","3,671",,16.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,48.80%,3.50%,33.20%,47.70%,24.80%,16.00%,40.80%,73.60%,54.80%,68.60%,78.40%,18.70%,31.50%,52.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.20%,38.90%,0.00%,3.00%,0.00%,2.70%,0.00%,0.00%,1.70%,14.60%,11.60%,68.40%,40.70%,29.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.80%,12.20%,11.90%,15.80%,68.70%,57.90%,15.30%,22.80%,43.50%,12.20%,7.30%,10.40%,12.40%,10.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.00%,45.30%,48.60%,13.50%,0.00%,2.50%,1.40%,3.60%,0.00%,4.50%,0.70%,0.90%,10.60%,3.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,7.20%,0.00%,6.30%,19.90%,6.50%,20.90%,42.50%,0.00%,0.00%,0.00%,1.90%,1.70%,4.70%,4.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"St. Lucie County, Florida","149,585",842,"15,816","7,071","3,721","23,883","9,274","1,582","8,449","16,430","32,745","14,793","9,435","5,544",,14.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.10%,6.80%,24.60%,35.40%,22.70%,12.70%,15.30%,61.40%,57.70%,38.20%,63.20%,21.70%,20.70%,23.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.80%,0.00%,1.70%,0.00%,4.80%,7.40%,1.00%,0.00%,4.40%,28.60%,22.50%,58.60%,48.00%,56.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.90%,47.40%,7.30%,3.70%,49.90%,66.40%,26.40%,15.30%,30.40%,23.30%,9.80%,13.40%,14.80%,9.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.70%,45.80%,64.00%,5.90%,6.60%,0.60%,11.40%,19.70%,0.40%,7.00%,0.90%,2.00%,12.90%,5.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.50%,0.00%,2.40%,54.90%,16.00%,12.90%,46.00%,3.60%,7.10%,3.00%,3.60%,4.30%,3.60%,4.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Santa Rosa County, Florida","78,050",552,"6,647","3,760","1,297","9,888","4,424","2,515","5,854","9,958","16,539","8,130","3,066","5,420",,11.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,40.10%,6.90%,27.50%,38.00%,26.00%,10.70%,17.00%,38.80%,38.20%,55.90%,73.30%,18.30%,46.50%,38.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.70%,0.00%,0.00%,0.00%,0.00%,1.20%,0.00%,0.00%,0.00%,13.40%,15.40%,66.00%,20.80%,27.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.40%,0.00%,7.60%,12.00%,62.30%,59.50%,36.00%,8.70%,57.50%,19.50%,7.10%,8.80%,9.70%,24.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,67.40%,57.90%,17.00%,0.00%,6.30%,5.90%,50.70%,0.00%,0.00%,1.90%,0.00%,20.50%,3.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.30%,25.70%,7.00%,32.90%,11.70%,22.20%,41.10%,1.70%,4.30%,11.20%,2.30%,6.90%,2.50%,6.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Sarasota County, Florida","178,123","1,002","15,819","7,280","3,171","23,618","7,912","3,232","12,543","26,135","37,465","20,923","13,137","5,886",,16.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.20%,26.90%,18.40%,33.90%,35.60%,6.70%,8.90%,54.60%,39.70%,47.50%,61.60%,21.70%,21.00%,38.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.40%,25.30%,0.60%,0.00%,1.20%,2.70%,0.70%,10.90%,5.10%,27.90%,24.40%,64.90%,44.60%,33.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.40%,0.00%,7.40%,22.10%,36.20%,69.60%,28.00%,25.50%,49.30%,22.00%,12.70%,8.50%,14.00%,25.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.50%,37.60%,73.30%,6.70%,1.50%,1.60%,3.60%,7.50%,2.90%,1.80%,0.10%,2.30%,14.80%,2.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.60%,10.10%,0.30%,37.30%,25.50%,19.40%,58.90%,1.50%,2.90%,0.80%,1.20%,2.50%,5.60%,0.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Seminole County, Florida","243,631",437,"15,533","12,770","6,895","27,272","14,003","6,432","21,385","40,909","49,878","28,467","13,161","6,489",,12.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,45.60%,53.50%,35.00%,48.10%,43.70%,15.20%,22.00%,57.80%,47.30%,65.80%,72.20%,21.40%,30.10%,32.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.50%,25.20%,0.00%,1.90%,0.70%,2.60%,4.30%,0.60%,0.90%,10.60%,13.20%,49.90%,44.70%,37.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.60%,3.20%,10.20%,10.90%,43.20%,62.70%,20.20%,29.70%,47.80%,18.50%,10.80%,22.10%,8.00%,24.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.70%,9.20%,53.20%,4.50%,2.80%,2.00%,5.00%,11.40%,3.40%,2.20%,0.70%,4.20%,13.40%,3.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.70%,8.90%,1.60%,34.60%,9.60%,17.40%,48.50%,0.50%,0.60%,2.80%,3.10%,2.30%,3.70%,2.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Sumter County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Volusia County, Florida","242,595","2,068","21,578","11,754","6,783","33,919","10,077","3,438","18,591","27,227","52,614","29,700","15,796","9,050",,19.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.50%,23.70%,16.90%,22.40%,6.80%,11.50%,12.20%,37.60%,41.30%,38.90%,68.30%,17.90%,12.90%,41.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.10%,6.50%,0.20%,4.90%,0.00%,4.60%,4.90%,7.30%,5.00%,33.90%,17.10%,68.50%,43.00%,46.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.70%,12.10%,7.20%,17.50%,49.40%,61.10%,21.40%,20.70%,50.90%,20.50%,11.30%,8.20%,15.20%,8.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.10%,31.10%,73.00%,7.00%,9.40%,5.60%,11.70%,27.90%,1.70%,2.00%,1.30%,0.80%,18.80%,3.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.60%,26.50%,2.70%,48.20%,34.40%,17.10%,49.80%,6.50%,1.10%,4.70%,2.00%,4.50%,10.10%,1.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Walton County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,14.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Barrow County, Georgia","39,569",463,"2,984","4,759","1,253","4,489","2,798",501,"1,685","3,206","9,775","3,380","2,847","1,429",,14.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.70%,1.90%,6.00%,28.60%,18.60%,21.60%,12.80%,35.30%,53.40%,40.30%,72.10%,22.50%,31.20%,52.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.60%,0.00%,0.00%,0.00%,0.00%,6.10%,0.00%,0.00%,7.70%,14.90%,13.50%,67.10%,17.70%,30.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.60%,89.40%,10.40%,6.70%,36.30%,50.50%,14.40%,0.00%,34.00%,23.10%,10.90%,10.50%,9.50%,11.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.20%,8.60%,81.10%,10.90%,2.30%,4.50%,0.70%,49.90%,0.00%,7.30%,2.20%,0.00%,15.00%,5.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.90%,0.00%,2.50%,53.90%,42.80%,17.30%,72.10%,14.80%,4.90%,14.40%,1.30%,0.00%,26.70%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bartow County, Georgia","48,713",141,"3,742","10,020","2,414","3,420","3,764",726,"2,122","4,363","8,806","4,992","2,537","1,666",,11.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.80%,100.00%,3.50%,19.70%,29.60%,10.40%,19.50%,48.20%,36.60%,44.20%,70.20%,16.10%,15.20%,3.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.40%,0.00%,9.90%,0.20%,0.00%,3.60%,3.60%,0.00%,6.00%,18.40%,16.10%,70.60%,26.30%,78.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.40%,0.00%,6.40%,16.30%,49.80%,69.90%,30.00%,32.40%,57.40%,17.00%,10.20%,13.10%,16.40%,10.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.70%,0.00%,78.80%,8.80%,4.10%,2.30%,6.10%,9.90%,0.00%,8.00%,0.00%,0.00%,35.10%,7.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.70%,0.00%,1.50%,55.00%,16.40%,13.80%,40.80%,9.50%,0.00%,12.40%,3.50%,0.30%,7.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bibb County, Georgia","65,512",29,"3,139","5,095","2,604","7,908","3,987",882,"3,731","7,672","15,622","6,643","3,446","4,754",,14.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.50%,0.00%,7.30%,22.20%,8.10%,10.00%,1.10%,26.90%,25.50%,46.00%,62.60%,9.60%,42.10%,48.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.20%,0.00%,0.90%,1.90%,0.00%,2.10%,0.70%,4.40%,2.90%,32.90%,20.30%,60.30%,27.00%,31.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.00%,0.00%,11.00%,5.60%,50.80%,67.40%,20.50%,16.10%,65.20%,12.80%,15.70%,23.90%,10.90%,6.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,100.00%,79.00%,1.50%,9.00%,5.50%,4.00%,52.60%,6.40%,4.70%,0.00%,4.20%,8.60%,10.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,0.00%,1.80%,68.80%,32.10%,15.00%,73.70%,0.00%,0.00%,3.50%,1.40%,2.00%,11.30%,2.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bulloch County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Carroll County, Georgia","56,266",567,"4,260","10,905","1,936","7,608","3,464",955,"2,030","4,398","10,391","4,238","3,737","1,777",,8.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.90%,36.90%,18.50%,26.90%,18.80%,17.50%,13.00%,57.30%,60.00%,39.10%,58.40%,17.00%,19.40%,18.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,0.00%,0.00%,3.80%,0.00%,0.60%,1.20%,8.00%,0.00%,36.10%,17.40%,60.40%,18.90%,61.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.40%,0.00%,3.60%,12.80%,58.40%,58.10%,6.70%,0.00%,33.30%,21.90%,19.10%,16.40%,34.10%,14.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.60%,63.10%,74.20%,3.80%,0.00%,2.70%,15.00%,16.20%,6.70%,0.00%,0.00%,3.80%,22.70%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.30%,0.00%,3.70%,52.80%,22.90%,21.20%,64.10%,18.50%,0.00%,3.00%,5.10%,2.50%,5.00%,6.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Catoosa County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Chatham County, Georgia","138,435",739,"9,137","11,856","1,375","16,061","12,091","2,326","6,296","14,269","31,067","22,678","4,776","5,764",,14.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.00%,12.30%,25.80%,39.30%,18.00%,9.30%,4.80%,40.50%,45.40%,54.60%,66.90%,20.70%,21.30%,39.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.70%,0.00%,0.00%,1.00%,0.00%,5.90%,10.20%,13.80%,0.00%,19.80%,20.80%,57.10%,44.20%,28.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.40%,11.80%,12.50%,17.00%,45.90%,55.80%,13.20%,22.80%,39.80%,17.00%,9.20%,16.90%,12.30%,18.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.50%,54.00%,53.70%,10.40%,10.50%,7.80%,1.00%,21.40%,8.70%,0.60%,1.00%,0.20%,12.50%,4.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.40%,21.90%,8.00%,32.30%,25.60%,21.20%,70.70%,1.40%,6.10%,8.10%,2.00%,5.10%,9.70%,8.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cherokee County, Georgia","132,272",143,"14,171","12,572","4,946","14,393","6,934","3,006","10,866","20,840","24,257","9,769","6,208","4,167",,9.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,43.10%,48.30%,19.70%,39.90%,24.30%,13.90%,39.00%,46.50%,57.20%,58.20%,75.60%,20.90%,24.30%,39.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.20%,0.00%,0.00%,3.20%,0.00%,1.00%,2.00%,0.00%,0.00%,21.20%,10.90%,65.20%,42.10%,49.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.20%,0.00%,7.40%,17.80%,50.20%,67.40%,17.60%,40.40%,37.90%,15.90%,9.10%,7.60%,11.40%,8.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.20%,51.70%,66.10%,5.10%,12.00%,2.70%,7.20%,13.10%,0.50%,1.50%,1.10%,0.80%,12.10%,2.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.20%,0.00%,6.70%,34.00%,13.50%,15.00%,34.20%,0.00%,4.40%,3.30%,3.30%,5.50%,10.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Clarke County, Georgia","62,662",600,"2,337","2,698","1,690","6,749","1,816","1,004","1,975","6,849","20,660","11,344","2,650","2,290",,13.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,42.30%,39.00%,26.20%,24.90%,7.30%,8.40%,12.40%,67.80%,51.30%,48.20%,71.60%,19.00%,34.60%,52.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.90%,0.00%,0.00%,1.00%,3.70%,7.90%,0.00%,25.60%,3.30%,19.00%,15.60%,60.30%,22.60%,8.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.20%,26.00%,14.20%,14.10%,37.90%,61.80%,12.40%,0.00%,42.30%,18.80%,9.70%,17.50%,15.10%,38.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,4.00%,35.00%,56.20%,12.80%,0.00%,3.00%,0.00%,6.60%,0.00%,1.60%,0.00%,0.00%,9.40%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.60%,0.00%,3.40%,47.20%,51.10%,18.90%,75.10%,0.00%,3.00%,12.30%,3.10%,3.20%,18.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Clayton County, Georgia","132,137",195,"7,789","10,674","3,591","15,290","17,493","1,619","5,919","16,965","26,381","12,930","6,828","6,463",,23.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,25.60%,13.80%,10.70%,12.80%,27.40%,9.70%,6.10%,64.20%,40.50%,30.70%,55.80%,11.50%,14.80%,34.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.40%,0.00%,0.00%,3.80%,0.00%,4.90%,2.70%,4.10%,10.10%,35.20%,27.90%,55.00%,54.10%,29.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.40%,0.00%,0.70%,12.10%,17.50%,61.10%,20.60%,19.80%,38.80%,17.90%,10.70%,24.20%,8.70%,18.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.40%,86.20%,81.70%,3.90%,0.00%,3.60%,4.20%,11.80%,6.60%,1.70%,0.20%,1.50%,17.50%,9.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.10%,0.00%,7.00%,67.40%,55.10%,20.60%,66.40%,0.00%,4.00%,14.40%,5.50%,7.70%,4.90%,8.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cobb County, Georgia","405,753",732,"30,629","29,220","13,211","45,588","22,922","10,161","32,569","70,719","79,610","37,571","20,474","12,347",,11.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,48.30%,62.80%,22.30%,45.20%,23.90%,19.80%,30.80%,76.70%,58.80%,65.00%,75.50%,30.30%,29.60%,48.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.80%,0.00%,0.90%,1.70%,0.60%,3.20%,0.30%,2.30%,3.30%,15.40%,12.50%,53.20%,39.20%,26.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.10%,22.50%,7.50%,16.90%,39.80%,56.20%,13.50%,14.70%,36.80%,13.90%,10.00%,14.20%,9.50%,15.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.40%,14.60%,65.50%,3.90%,6.40%,2.90%,4.40%,6.20%,0.10%,2.00%,0.70%,0.00%,11.50%,3.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.40%,0.00%,3.90%,32.30%,29.40%,17.90%,50.90%,0.00%,1.10%,3.70%,1.40%,2.30%,10.20%,6.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Columbia County, Georgia","76,929",342,"6,217","8,448","1,760","8,247","5,680","1,199","3,020","8,049","20,895","6,404","1,738","4,930",,11.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,47.50%,96.80%,16.00%,71.80%,6.90%,12.80%,14.50%,44.80%,42.40%,64.00%,77.60%,18.00%,16.60%,52.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.20%,0.00%,0.00%,0.00%,0.00%,4.90%,3.30%,0.00%,3.20%,11.90%,14.20%,56.60%,32.20%,27.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.40%,0.00%,5.30%,11.30%,37.70%,66.60%,35.20%,34.30%,46.00%,14.80%,7.80%,15.30%,43.40%,14.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.40%,3.20%,78.70%,0.90%,16.00%,5.40%,8.30%,16.50%,8.50%,2.70%,0.00%,0.00%,7.80%,5.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.50%,0.00%,0.00%,16.10%,39.40%,10.30%,38.70%,4.40%,0.00%,6.70%,0.30%,10.20%,0.00%,1.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Coweta County, Georgia","73,055",324,"3,253","10,697","1,068","7,607","8,761","1,873","4,295","7,542","14,196","5,960","3,825","3,654",,13.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.80%,21.60%,29.80%,40.40%,23.40%,19.70%,18.80%,43.60%,72.20%,47.30%,68.70%,31.60%,28.80%,42.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.40%,0.00%,0.00%,1.50%,0.00%,1.90%,1.10%,9.60%,0.90%,24.90%,19.00%,56.30%,15.30%,37.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.70%,45.70%,14.50%,10.90%,38.80%,50.20%,19.80%,16.10%,25.80%,22.20%,8.80%,9.40%,16.80%,11.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.70%,32.70%,55.30%,4.50%,7.00%,6.50%,21.80%,30.80%,1.10%,0.50%,0.50%,0.00%,12.80%,6.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.40%,0.00%,0.30%,42.70%,30.80%,21.70%,38.50%,0.00%,0.00%,5.20%,3.10%,2.80%,26.30%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"DeKalb County, Georgia","393,493",426,"15,596","22,246","13,038","38,875","28,667","17,153","29,901","67,141","84,225","38,646","18,855","18,724",,12.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,46.30%,45.50%,19.20%,36.10%,28.10%,13.00%,16.10%,70.00%,58.00%,63.00%,68.10%,24.20%,34.50%,68.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.10%,0.00%,0.00%,1.40%,0.00%,7.50%,3.50%,0.70%,2.00%,15.10%,19.00%,59.20%,36.20%,14.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
