County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.10%,41.20%,86.30%,7.20%,4.70%,6.00%,18.50%,7.50%,4.00%,2.50%,2.90%,0.00%,20.40%,2.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.30%,15.30%,3.60%,56.80%,17.80%,11.00%,51.90%,0.00%,0.00%,11.40%,1.70%,2.00%,15.00%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Brunswick County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,14.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Buncombe County, North Carolina","117,832",992,"7,331","10,199","2,142","15,544","3,081","1,229","5,962","13,292","30,706","15,749","7,488","4,117",,7.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.50%,65.50%,7.30%,22.10%,24.00%,12.70%,7.00%,70.20%,44.80%,53.20%,74.50%,19.60%,22.20%,52.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.00%,13.00%,1.10%,4.60%,4.00%,4.00%,5.80%,0.00%,2.90%,29.10%,16.40%,60.00%,37.50%,16.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.60%,0.00%,3.60%,8.90%,57.00%,66.80%,15.00%,6.80%,47.20%,13.50%,7.00%,17.90%,7.50%,19.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.70%,21.50%,85.90%,6.60%,1.40%,4.20%,14.50%,16.10%,5.10%,0.30%,1.80%,0.00%,21.40%,11.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.20%,0.00%,2.10%,57.70%,13.60%,12.30%,57.70%,6.80%,0.00%,3.80%,0.40%,2.50%,11.40%,1.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Burke County, North Carolina","37,518",379,"2,490","7,815","1,056","4,126","1,157",447,878,"2,264","9,826","3,524","1,344","2,212",,7.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.40%,0.00%,8.00%,14.40%,19.30%,8.50%,3.80%,0.00%,36.20%,43.70%,68.30%,26.00%,29.20%,57.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.50%,0.00%,0.00%,3.90%,0.00%,13.00%,0.00%,15.70%,0.00%,22.50%,16.00%,58.70%,23.70%,19.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.70%,0.00%,0.00%,5.00%,26.30%,63.20%,11.20%,57.50%,52.70%,19.60%,12.90%,8.70%,6.30%,18.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.30%,93.10%,85.80%,8.60%,9.80%,6.20%,14.30%,26.80%,0.00%,4.60%,0.00%,2.80%,37.90%,4.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,21.10%,6.90%,6.20%,68.00%,44.50%,9.00%,70.70%,0.00%,11.00%,9.60%,2.80%,3.80%,2.80%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cabarrus County, North Carolina","95,271",459,"8,397","9,427","3,258","12,533","5,012","1,528","8,902","8,577","20,752","8,011","5,386","3,029",,10.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.20%,14.80%,19.10%,31.50%,20.10%,16.10%,13.00%,53.50%,67.20%,47.10%,69.70%,17.20%,27.20%,41.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.00%,0.00%,0.00%,0.00%,0.00%,5.40%,0.40%,15.30%,4.00%,24.50%,15.60%,57.60%,27.90%,50.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.00%,31.40%,4.10%,15.60%,39.40%,65.10%,37.40%,20.50%,27.30%,22.10%,11.50%,17.10%,17.60%,8.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.10%,36.60%,73.80%,5.80%,5.20%,4.00%,6.20%,5.80%,0.70%,2.40%,1.30%,2.10%,18.10%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.70%,17.20%,3.10%,47.10%,35.30%,9.50%,43.10%,4.80%,0.80%,3.90%,1.90%,6.00%,9.20%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Caldwell County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Carteret County, North Carolina","30,290",473,"2,799","1,374",289,"3,465","1,412",395,"2,455","3,146","6,169","4,497","1,366","2,450",,10.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.30%,30.90%,5.40%,37.10%,15.60%,8.00%,6.40%,43.30%,28.20%,38.40%,72.90%,22.90%,24.00%,50.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.60%,0.00%,0.90%,0.00%,0.00%,6.50%,0.00%,0.00%,11.50%,32.30%,19.70%,62.00%,31.70%,22.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.10%,0.00%,5.00%,19.90%,84.40%,69.10%,14.20%,21.30%,60.30%,16.30%,6.00%,11.70%,12.80%,11.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,14.00%,64.30%,82.20%,3.80%,0.00%,4.20%,16.50%,19.70%,0.00%,11.20%,0.80%,3.30%,25.10%,10.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.00%,4.90%,6.50%,39.20%,0.00%,12.20%,62.80%,15.70%,0.00%,1.80%,0.50%,0.00%,6.40%,5.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Catawba County, North Carolina","67,277",241,"3,915","19,735","2,557","7,733","2,564",785,"2,705","5,058","12,142","6,267","1,641","1,934",,7.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.10%,51.90%,24.20%,22.60%,30.30%,10.70%,15.10%,42.90%,56.20%,45.10%,69.60%,7.30%,27.40%,65.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.10%,0.00%,0.00%,1.70%,0.00%,2.20%,1.90%,0.00%,2.80%,23.00%,23.70%,72.90%,39.10%,14.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.70%,0.00%,4.70%,17.60%,28.50%,68.30%,23.30%,47.80%,38.20%,23.90%,4.60%,11.20%,8.30%,15.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.40%,22.80%,62.90%,3.20%,4.90%,5.90%,11.90%,9.30%,2.80%,0.00%,0.40%,6.40%,15.10%,5.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.70%,25.30%,8.20%,54.80%,36.20%,12.90%,47.90%,0.00%,0.00%,8.00%,1.80%,2.30%,10.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Chatham County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cleveland County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Craven County, North Carolina","42,091",401,"2,464","4,511","1,489","3,901","3,333",77,"2,185","3,442","9,045","4,796","2,191","4,256",,7.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.20%,27.40%,10.70%,18.40%,0.00%,7.90%,10.40%,22.10%,36.70%,55.80%,68.90%,29.90%,6.50%,26.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.90%,0.00%,5.50%,0.20%,22.20%,2.10%,13.40%,0.00%,15.70%,20.50%,17.30%,47.90%,42.60%,26.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.10%,0.00%,0.00%,12.80%,42.00%,82.90%,16.60%,77.90%,40.50%,16.80%,9.30%,21.00%,21.90%,20.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.30%,63.30%,83.80%,9.20%,3.20%,1.90%,12.10%,0.00%,2.10%,1.90%,1.80%,0.00%,10.30%,23.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.50%,9.20%,0.00%,59.40%,32.60%,5.20%,47.60%,0.00%,5.00%,5.00%,2.80%,1.30%,18.80%,2.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cumberland County, North Carolina","122,639",599,"6,783","8,747","1,805","18,114","3,843","2,322","4,414","12,613","32,606","13,633","6,778","10,382",,10.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.60%,24.90%,14.20%,16.00%,27.60%,9.60%,10.30%,36.00%,31.60%,40.70%,63.70%,13.50%,26.70%,41.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.20%,5.00%,3.80%,3.30%,0.00%,2.10%,1.80%,3.50%,4.90%,22.00%,22.20%,63.70%,34.60%,23.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.90%,23.00%,7.50%,9.60%,53.10%,77.10%,36.00%,44.50%,57.60%,25.30%,11.80%,19.60%,15.00%,20.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.30%,41.40%,74.50%,4.30%,3.30%,3.40%,7.70%,13.90%,5.90%,4.10%,1.10%,0.60%,11.30%,11.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.90%,5.70%,0.00%,66.80%,15.90%,7.90%,44.20%,2.10%,0.00%,7.80%,1.20%,2.60%,12.50%,2.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Davidson County, North Carolina","73,582",527,"7,006","16,567","1,368","8,664","3,988","1,454","2,460","5,291","14,927","4,965","3,529","2,836",,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.10%,18.20%,12.00%,15.80%,16.20%,6.10%,11.30%,64.40%,40.70%,35.30%,61.10%,8.50%,31.70%,25.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.00%,0.00%,0.00%,0.80%,0.00%,4.10%,1.70%,0.00%,4.00%,31.70%,20.80%,63.50%,28.60%,49.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.90%,0.00%,6.80%,14.40%,58.10%,74.50%,25.80%,13.10%,50.70%,13.80%,15.00%,19.60%,16.30%,16.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.40%,81.80%,76.00%,4.20%,8.90%,5.40%,12.50%,15.30%,2.70%,7.30%,0.90%,2.60%,13.70%,4.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,21.70%,0.00%,5.20%,64.80%,16.80%,10.00%,48.70%,7.20%,1.80%,11.80%,2.20%,5.90%,9.70%,3.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Durham County, North Carolina","157,950","1,546","10,245","12,891","2,380","11,694","3,020","3,532","7,658","19,851","55,598","16,754","6,198","6,583",,9.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,48.90%,17.90%,11.00%,45.70%,35.00%,13.70%,15.40%,43.30%,57.20%,57.90%,72.80%,18.00%,34.50%,61.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,0.00%,1.20%,0.60%,0.00%,2.40%,0.00%,0.00%,2.00%,22.00%,14.80%,61.50%,32.10%,15.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.70%,0.00%,3.30%,8.20%,39.70%,70.80%,14.20%,52.40%,32.30%,11.30%,7.90%,16.60%,13.10%,11.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.20%,79.00%,82.70%,5.70%,2.40%,2.60%,2.20%,3.50%,5.20%,2.20%,0.90%,0.30%,10.50%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.40%,3.00%,1.90%,39.80%,22.90%,10.60%,68.20%,0.80%,3.30%,6.60%,3.70%,3.50%,9.90%,12.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Forsyth County, North Carolina","168,831",985,"11,109","19,835","4,470","18,162","7,191","2,287","10,794","18,312","46,199","15,083","9,019","5,385",,9.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.60%,6.40%,18.70%,28.60%,11.50%,13.30%,22.00%,53.40%,52.40%,48.60%,64.80%,18.50%,20.10%,47.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,0.00%,0.00%,1.10%,0.00%,2.10%,0.60%,1.70%,1.50%,18.50%,21.30%,63.90%,32.50%,32.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.20%,0.00%,3.80%,13.60%,55.30%,72.70%,21.90%,24.60%,41.70%,24.70%,11.70%,16.70%,22.60%,17.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.00%,74.10%,75.70%,5.00%,6.50%,2.30%,6.60%,20.20%,0.70%,1.10%,0.50%,0.20%,13.10%,0.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.40%,19.50%,1.80%,51.70%,26.80%,9.50%,48.90%,0.00%,3.70%,7.20%,1.70%,0.70%,11.70%,1.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Gaston County, North Carolina","91,518",356,"4,779","18,646","3,121","12,482","5,989","1,414","5,234","7,389","16,776","7,312","4,921","3,099",,13.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.80%,72.50%,13.00%,15.70%,12.30%,8.80%,20.00%,47.30%,50.80%,50.00%,62.20%,13.20%,21.60%,13.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.00%,0.00%,2.80%,1.70%,4.10%,2.90%,1.40%,2.90%,2.30%,23.10%,22.40%,67.90%,42.70%,60.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.50%,0.00%,9.00%,12.00%,40.90%,68.90%,26.00%,19.90%,44.20%,19.30%,12.30%,15.70%,9.00%,21.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.10%,7.90%,68.10%,7.20%,9.00%,6.60%,10.30%,29.90%,2.10%,3.70%,0.70%,0.00%,19.20%,3.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.50%,19.70%,7.10%,63.40%,33.70%,12.80%,42.30%,0.00%,0.70%,4.00%,2.40%,3.20%,7.50%,1.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Guilford County, North Carolina","245,890","1,284","15,087","29,962","8,514","27,458","12,553","3,700","20,199","25,142","56,757","24,837","13,700","6,697",,12.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.40%,39.00%,16.60%,36.10%,17.00%,10.20%,16.00%,48.00%,43.90%,48.10%,66.80%,14.80%,30.70%,50.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.70%,2.60%,2.00%,2.00%,0.00%,4.50%,5.20%,3.80%,2.60%,20.00%,19.70%,65.80%,38.10%,32.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.00%,13.50%,9.20%,13.80%,49.40%,71.90%,15.90%,32.80%,47.20%,21.10%,11.40%,13.00%,6.80%,11.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.30%,44.90%,69.00%,9.20%,4.20%,2.60%,9.60%,11.90%,3.40%,2.60%,0.70%,1.30%,13.20%,2.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.60%,0.00%,3.20%,38.80%,29.40%,10.70%,53.30%,3.50%,3.00%,8.20%,1.40%,5.10%,11.30%,3.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Harnett County, North Carolina","49,142","1,201","4,661","4,674","1,689","6,192","2,136",814,"1,689","4,150","11,358","3,906","1,819","4,853",,10.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.30%,43.10%,12.00%,21.70%,7.30%,25.50%,12.50%,16.00%,31.70%,58.60%,63.90%,14.80%,18.20%,41.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,21.20%,0.00%,1.30%,0.00%,2.00%,1.80%,0.00%,1.40%,19.00%,19.80%,53.70%,35.60%,33.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.80%,1.20%,5.20%,9.20%,64.80%,61.00%,26.70%,42.30%,66.90%,11.70%,12.40%,18.20%,7.80%,17.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.00%,11.60%,78.20%,8.90%,1.50%,2.10%,12.30%,41.80%,0.00%,3.80%,1.70%,0.00%,18.50%,5.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.80%,22.80%,4.50%,59.00%,26.40%,9.50%,46.70%,0.00%,0.00%,7.00%,2.20%,13.40%,20.00%,2.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Henderson County, North Carolina","49,582",845,"4,267","7,257","1,679","6,354","2,005",526,"3,573","3,739","12,771","3,966","1,533","1,067",,18.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.70%,14.40%,32.30%,24.30%,17.90%,13.40%,15.30%,35.40%,33.80%,56.50%,66.90%,17.60%,15.70%,44.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,12.90%,0.00%,0.00%,1.30%,0.00%,4.40%,0.00%,0.00%,1.10%,13.70%,15.50%,61.30%,41.60%,39.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.10%,4.60%,5.80%,4.50%,35.90%,70.60%,16.60%,16.00%,56.40%,14.80%,9.60%,12.70%,26.20%,15.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.40%,80.90%,61.90%,2.60%,13.90%,3.00%,8.30%,48.70%,2.60%,5.30%,6.20%,1.00%,11.50%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,0.00%,0.00%,67.40%,32.30%,8.50%,59.90%,0.00%,6.10%,9.80%,1.80%,7.50%,5.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Iredell County, North Carolina","81,073",544,"4,806","15,815","2,110","11,320","4,084",422,"4,489","6,749","16,509","7,807","4,658","1,760",,9.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.20%,30.90%,16.30%,23.40%,19.60%,20.20%,9.60%,9.20%,41.80%,41.40%,63.80%,19.90%,20.10%,33.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.50%,7.40%,0.00%,2.00%,1.80%,1.80%,0.00%,0.00%,2.70%,29.60%,21.00%,57.20%,38.70%,54.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.70%,0.00%,9.10%,12.40%,53.80%,55.50%,27.90%,60.20%,47.20%,20.50%,11.40%,13.00%,12.30%,12.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.70%,46.30%,73.00%,8.60%,0.00%,5.80%,8.70%,5.20%,3.30%,0.60%,1.40%,3.70%,20.90%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.90%,15.40%,1.60%,53.60%,24.80%,16.70%,53.80%,25.40%,5.00%,7.80%,2.30%,6.20%,8.00%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Johnston County, North Carolina","87,561","1,453","9,266","8,471","4,395","11,509","2,848",768,"3,309","7,233","18,168","9,429","3,999","6,713",,7.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.50%,56.30%,23.00%,23.10%,23.40%,13.80%,13.00%,77.90%,35.00%,49.50%,67.20%,16.50%,19.90%,35.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.40%,0.00%,0.80%,0.70%,4.30%,8.60%,0.00%,0.00%,1.10%,23.20%,17.10%,56.30%,41.10%,32.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.70%,6.60%,5.40%,8.00%,45.10%,68.80%,14.70%,17.70%,45.50%,19.50%,11.40%,24.80%,1.80%,24.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.90%,37.10%,68.90%,7.40%,7.60%,3.80%,6.40%,4.40%,8.60%,0.80%,0.00%,1.00%,26.40%,6.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.50%,0.00%,2.00%,60.70%,19.60%,5.00%,65.90%,0.00%,9.70%,7.00%,4.20%,1.40%,10.80%,1.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lincoln County, North Carolina","37,523",283,"2,632","8,298",703,"4,380","2,576",777,"1,975","3,324","6,163","3,048","1,772","1,592",,7.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.80%,29.00%,6.30%,12.70%,23.30%,9.50%,17.40%,4.90%,59.50%,44.60%,66.40%,18.70%,22.40%,21.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.40%,0.00%,3.20%,0.00%,7.80%,7.80%,6.50%,12.70%,0.00%,31.00%,26.20%,49.10%,17.20%,60.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.70%,0.00%,8.90%,6.50%,55.80%,65.70%,19.10%,72.80%,23.60%,15.60%,4.90%,19.10%,11.00%,13.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.30%,60.10%,72.10%,10.40%,0.00%,5.50%,12.80%,9.50%,13.40%,1.20%,0.00%,13.10%,40.30%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.90%,11.00%,9.50%,70.50%,13.10%,11.50%,44.20%,0.00%,3.40%,7.70%,2.50%,0.00%,9.10%,4.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Mecklenburg County, North Carolina","534,403","1,343","35,618","41,743","18,428","61,186","27,929","16,417","70,900","73,514","98,664","53,045","25,196","10,420",,8.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,43.20%,30.10%,21.60%,39.40%,22.70%,14.10%,20.60%,57.40%,63.80%,57.80%,67.80%,22.00%,28.30%,47.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.00%,3.40%,0.30%,0.40%,0.10%,3.00%,2.70%,0.90%,2.40%,15.90%,19.50%,60.30%,36.10%,32.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
