County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
"Jefferson County, Alabama","305,944","2,281","15,031","29,959","9,370","29,946","16,820","6,767","25,055","32,880","80,718","26,547","18,550","12,020",,10.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.80%,21.10%,19.20%,23.70%,19.20%,11.10%,19.90%,49.70%,50.70%,50.20%,66.90%,17.80%,20.40%,37.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.40%,4.20%,0.00%,3.90%,1.80%,3.80%,1.80%,4.90%,4.10%,18.20%,19.00%,63.60%,43.20%,22.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.30%,11.90%,6.10%,17.90%,48.00%,68.10%,17.60%,33.90%,41.00%,23.60%,11.80%,13.20%,18.30%,27.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.60%,49.90%,69.80%,7.30%,8.40%,2.30%,17.30%,9.50%,1.90%,2.10%,0.80%,0.20%,10.80%,5.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.90%,12.90%,4.80%,47.20%,22.60%,14.70%,43.40%,2.00%,2.30%,5.90%,1.50%,5.30%,7.30%,6.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lauderdale County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lee County, Alabama","73,205",427,"3,477","10,398","1,067","9,505","3,017","1,479","5,059","6,573","18,329","7,667","2,982","3,225",,12.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.00%,30.20%,26.70%,19.00%,6.50%,8.90%,27.80%,51.80%,41.50%,38.70%,75.70%,23.80%,17.10%,44.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.10%,0.00%,0.00%,3.40%,0.00%,0.50%,0.00%,0.00%,2.40%,30.50%,13.40%,65.20%,49.70%,32.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.10%,0.00%,11.80%,8.50%,52.20%,77.90%,15.20%,23.10%,49.90%,19.30%,7.80%,3.70%,11.00%,9.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,27.90%,61.50%,9.60%,0.00%,2.70%,25.60%,15.10%,4.70%,3.70%,1.30%,0.00%,22.20%,11.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.20%,41.90%,0.00%,59.50%,41.30%,10.10%,31.40%,10.00%,1.50%,7.90%,1.90%,7.30%,0.00%,1.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Limestone County, Alabama","38,868",138,"2,713","6,755","1,023","3,080","1,725",439,"1,809","5,865","6,981","3,313","2,712","2,315",,13.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.30%,75.40%,16.30%,27.90%,19.60%,15.20%,18.80%,15.30%,42.40%,50.50%,71.10%,18.40%,18.50%,69.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.80%,0.00%,1.50%,0.50%,0.00%,8.60%,2.90%,0.00%,0.00%,25.20%,15.80%,43.60%,22.30%,15.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.40%,0.00%,2.50%,6.80%,37.10%,64.30%,7.00%,69.70%,39.00%,23.50%,8.70%,32.30%,17.80%,15.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.30%,24.60%,73.60%,16.40%,17.60%,2.70%,0.00%,15.00%,11.10%,0.70%,0.00%,0.00%,24.60%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
